,IMDB_AUTO_pca_30,Cora_CCA_pca_30_5_pairs_0,Actor_AUTO_pca_30,Actor_None_pca_30,IMDB_CCA_pca_300,ACM_CLL_pca_300,DBLP_AUTO_pca_30_5_pairs_0,IMDB_CLNL_pca_300,DBLP_CLNL__5_pairs_0,IMDB_CLNL_pca_30_5_pairs_0,DBLP_CLNL_pca_30_5_pairs_0,Actor_CLNL_pca_30,IMDB_CLNL_pca_30,IMDB_AUTO_pca_300,Cora_AUTO_pca_30_5_pairs_0,Citeseer_None_pca_30,Citeseer_CLNL_pca_30,DBLP_CLNL_pca_30,ACM_CCA_pca_300,output_5_pairs_runs.log,DBLP_CCA_pca_30_5_pairs_0,ACM_CLL_pca_30,Actor_CCA_pca_30,ACM_AUTO_pca_30,Actor_CLL_pca_30,IMDB_CLL_pca_30,Citeseer_AUTO_pca_30,IMDB_CCA_pca_30_5_pairs_0,DBLP_CLL_pca_30_5_pairs_0,ACM_CCA_pca_30,ACM_CLL_pca_30_5_pairs_0,IMDB_AUTO_pca_30_5_pairs_0,ratio,DBLP_CCA_pca_30,ACM_AUTO_pca_300,cit_cl_linear_pca_10,Cora_CLL_pca_30_5_pairs_0,DBLP_AUTO_pca_30,Citeseer_CLL_pca_30,IMDB_CLL_pca_300,IMDB_CLL_pca_30_5_pairs_0,ACM_CCA_pca_30_5_pairs_0,Cora_CLNL_pca_64_5_pairs_0,IMDB_CCA_pca_30,ACM_CLNL_pca_30,ACM_CLNL_pca_30_5_pairs_0,DBLP_CLL_pca_30,ACM_AUTO_pca_30_5_pairs_0
0,,"[0.798, 0.769, 0.778, 0.779, 0.715]",,,,,,,,,,,,,"[0.796, 0.776, 0.786, 0.785, 0.775]",,,,,,,,,,,,,,,,,,1.0,,,,"[0.778, 0.784, 0.77, 0.786, 0.779]",,,,,,"[0.789, 0.785, 0.789, 0.777, 0.789]",,,,,
1,,"[0.782, 0.775, 0.772, 0.779, 0.78]",,,,,,,,,,,,,"[0.788, 0.8, 0.778, 0.78, 0.781]",,,,,,,,,,,,,,,,,,0.9,,,,"[0.791, 0.758, 0.792, 0.773, 0.774]",,,,,,"[0.768, 0.797, 0.781, 0.784, 0.787]",,,,,
2,,"[0.752, 0.741, 0.768, 0.774, 0.742]",,,,,,,,,,,,,"[0.742, 0.755, 0.755, 0.764, 0.739]",,,,,,,,,,,,,,,,,,0.8,,,,"[0.794, 0.777, 0.797, 0.788, 0.784]",,,,,,"[0.782, 0.8, 0.797, 0.796, 0.782]",,,,,
3,,"[0.755, 0.729, 0.739, 0.733, 0.736]",,,,,,,,,,,,,"[0.733, 0.703, 0.731, 0.765, 0.723]",,,,,,,,,,,,,,,,,,0.7,,,,"[0.773, 0.754, 0.776, 0.736, 0.749]",,,,,,"[0.789, 0.785, 0.764, 0.787, 0.772]",,,,,
4,,"[0.717, 0.749, 0.745, 0.733, 0.731]",,,,,,,,,,,,,"[0.663, 0.648, 0.678, 0.701, 0.675]",,,,,,,,,,,,,,,,,,0.6,,,,"[0.767, 0.76, 0.744, 0.761, 0.768]",,,,,,"[0.752, 0.773, 0.771, 0.758, 0.774]",,,,,
5,,"[0.709, 0.743, 0.72, 0.719, 0.728]",,,,,,,,,,,,,"[0.685, 0.629, 0.662, 0.625, 0.682]",,,,,,,,,,,,,,,,,,0.5,,,,"[0.747, 0.738, 0.721, 0.755, 0.734]",,,,,,"[0.767, 0.71, 0.815, 0.735, 0.734]",,,,,
6,,"[0.645, 0.692, 0.685, 0.643, 0.71]",,,,,,,,,,,,,"[0.612, 0.646, 0.649, 0.632, 0.64]",,,,,,,,,,,,,,,,,,0.4,,,,"[0.708, 0.728, 0.74, 0.743, 0.736]",,,,,,"[0.757, 0.74, 0.774, 0.716, 0.761]",,,,,
7,,"[0.653, 0.649, 0.606, 0.627, 0.644]",,,,,,,,,,,,,"[0.537, 0.536, 0.519, 0.537, 0.538]",,,,,,,,,,,,,,,,,,0.3,,,,"[0.725, 0.717, 0.731, 0.71, 0.701]",,,,,,"[0.766, 0.742, 0.726, 0.741, 0.763]",,,,,
8,,"[0.643, 0.578, 0.59, 0.607, 0.681]",,,,,,,,,,,,,"[0.487, 0.362, 0.496, 0.429, 0.459]",,,,,,,,,,,,,,,,,,0.2,,,,"[0.736, 0.719, 0.714, 0.742, 0.703]",,,,,,"[0.763, 0.731, 0.736, 0.738, 0.737]",,,,,
9,,"[0.554, 0.609, 0.524, 0.547, 0.629]",,,,,,,,,,,,,"[0.324, 0.32, 0.323, 0.332, 0.323]",,,,,,,,,,,,,,,,,,0.1,,,,"[0.712, 0.715, 0.703, 0.713, 0.732]",,,,,,"[0.718, 0.707, 0.712, 0.732, 0.707]",,,,,
10,,"[0.412, 0.391, 0.344, 0.355, 0.321]",,,,,,,,,,,,,"[0.319, 0.319, 0.321, 0.319, 0.319]",,,,,,,,,,,,,,,,,,0.02,,,,"[0.543, 0.349, 0.469, 0.449, 0.445]",,,,,,"[0.679, 0.655, 0.637, 0.648, 0.672]",,,,,
11,,"[0.353, 0.331, 0.319, 0.361, 0.319]",,,,,,,,,,,,,"[0.151, 0.283, 0.144, 0.144, 0.17]",,,,,,,,,,,,,,,,,,0.01,,,,"[0.491, 0.369, 0.53, 0.394, 0.496]",,,,,,"[0.349, 0.37, 0.362, 0.397, 0.435]",,,,,
12,,"[0.341, 0.323, 0.144, 0.319, 0.195]",,,,,,,,,,,,,"[0.13, 0.319, 0.216, 0.155, 0.13]",,,,,,,,,,,,,,,,,,0.0,,,,"[0.149, 0.319, 0.189, 0.323, 0.319]",,,,,,"[0.445, 0.327, 0.379, 0.342, 0.461]",,,,,
