,ratio,Actor_None_pca_30,IMDB_CLNL_pca_30_5_pairs_0,ACM_None_pca_32zscore,Citeseer_CCA_pca_300,Cora_None_CONV,Cora_AUTO_0,Actor_CLNL_pca_30,ACM_None_pca_32TRI,DBLP_CCA_pca_30_5_pairs_0,IMDB_None_pca_32zscore,Cora_None_zscore,Citeseer_CLNL_pca_30,Actor_CLL_pca_30,ACM_CLNL_pca_30_5_pairs_0,IMDB_None_pca_32TRI,IMDB_CCA_pca_30_5_pairs_0,DBLP_None_pca_32TRI,Citeseer_None_pca_64zscore,IMDB_CLL_pca_30_5_pairs_0,ACM_CLL_pca_30_5_pairs_0,DBLP_AUTO_pca_30_5_pairs_0,Cora_None_pca_64CONV,Cora_None_TRI,Citeseer_CLL_pca_30,ACM_AUTO_pca_30_5_pairs_0,Actor_CCA_pca_30,DBLP_None_pca_32zscore,DBLP_CLL_pca_30_5_pairs_0,Cora_None_pca_64TRI,Cora_CLNL_0,Cora_CCA_0,Citeseer_None_pca_64TRI,IMDB_AUTO_pca_30_5_pairs_0,Actor_AUTO_pca_30,ACM_CCA_pca_30_5_pairs_0,Cora_CLL_0,Citeseer_None_pca_64CONV,output_5_pairs_runs.log,Cora_None_pca_64zscore,Citeseer_AUTO_pca_30,DBLP_CLNL_pca_30
0,1.0,,"[0.5695802185163887, 0.5701552616446234, 0.5721679125934445, 0.5687176538240368, 0.5710178263369753]",,,"[0.812, 0.806, 0.811, 0.805, 0.808]",,,,"[0.9382867669634634, 0.9385937979735953, 0.9385937979735953, 0.9379797359533313, 0.9382867669634634]",,"[0.8, 0.806, 0.806, 0.809, 0.811]","[0.692, 0.69, 0.695, 0.693, 0.697]",,"[0.9239848914069877, 0.9287063267233239, 0.9187913125590179, 0.9277620396600567, 0.9258734655335222]",,"[0.5715928694652099, 0.5695802185163887, 0.5733179988499137, 0.5704427832087406, 0.5684301322599195]","[0.9379797359533313, 0.9395148910039914, 0.9389008289837274, 0.9385937979735953, 0.9385937979735953]","[0.695, 0.693, 0.696, 0.694, 0.692]","[0.5710178263369753, 0.5701552616446234, 0.5687176538240368, 0.5707303047728579, 0.5707303047728579]","[0.931067044381492, 0.9258734655335222, 0.9277620396600567, 0.927289896128423, 0.9230406043437205]","[0.9382867669634634, 0.9376727049431992, 0.9376727049431992, 0.9379797359533313, 0.9364445809026711]","[0.807, 0.805, 0.81, 0.805, 0.812]",,"[0.692, 0.693, 0.69, 0.692, 0.696]","[0.927289896128423, 0.9315391879131256, 0.9239848914069877, 0.9301227573182247, 0.9282341831916903]",,,"[0.9382867669634634, 0.9382867669634634, 0.9392078599938594, 0.9382867669634634, 0.9382867669634634]","[0.81, 0.805, 0.806, 0.808, 0.804]",,,"[0.693, 0.689, 0.692, 0.695, 0.692]","[0.5684301322599195, 0.5687176538240368, 0.5684301322599195, 0.5672800460034503, 0.5707303047728579]",,"[0.9268177525967894, 0.9305949008498584, 0.9173748819641171, 0.9220963172804533, 0.9291784702549575]",,"[0.695, 0.693, 0.691, 0.694, 0.69]",,"[0.807, 0.808, 0.801, 0.808, 0.811]","[0.695, 0.694, 0.696, 0.697, 0.695]","[0.9376727049431992, 0.9379797359533313, 0.9373656739330672, 0.9385937979735953, 0.9379797359533313]"
1,0.9,,"[0.5764807360552041, 0.577343300747556, 0.5764807360552041, 0.5750431282346176, 0.5759056929269695]",,,"[0.798, 0.801, 0.802, 0.804, 0.807]",,,,"[0.9349094258520111, 0.935216456862143, 0.9361375498925392, 0.9355234878722751, 0.935216456862143]",,"[0.811, 0.811, 0.814, 0.815, 0.812]","[0.697, 0.697, 0.696, 0.693, 0.698]",,"[0.9197355996222851, 0.9268177525967894, 0.9159584513692163, 0.9211520302171861, 0.9268177525967894]",,"[0.5652673950546291, 0.5649798734905118, 0.5655549166187464, 0.5664174813110984, 0.5641173087981599]","[0.9379797359533313, 0.9385937979735953, 0.9379797359533313, 0.9382867669634634, 0.9367516119128032]","[0.699, 0.689, 0.695, 0.697, 0.697]","[0.5669925244393329, 0.5658424381828637, 0.5672800460034503, 0.5678550891316849, 0.5675675675675675]","[0.9296506137865911, 0.9258734655335222, 0.9258734655335222, 0.9263456090651558, 0.9150141643059491]","[0.9376727049431992, 0.9373656739330672, 0.9364445809026711, 0.9376727049431992, 0.9376727049431992]","[0.812, 0.812, 0.811, 0.811, 0.81]",,"[0.692, 0.692, 0.698, 0.698, 0.7]","[0.9216241737488197, 0.9183191690273843, 0.9230406043437205, 0.9263456090651558, 0.9268177525967894]",,,"[0.9327602087810869, 0.9333742708013509, 0.9318391157506908, 0.9327602087810869, 0.9318391157506908]","[0.808, 0.813, 0.81, 0.813, 0.808]",,,"[0.704, 0.704, 0.701, 0.702, 0.705]","[0.5600920069005175, 0.5603795284646349, 0.5615296147211041, 0.5644048303622772, 0.5621046578493387]",,"[0.9154863078375827, 0.9249291784702549, 0.9254013220018886, 0.9216241737488197, 0.9173748819641171]",,"[0.693, 0.694, 0.696, 0.692, 0.69]",,"[0.802, 0.801, 0.805, 0.805, 0.801]","[0.687, 0.685, 0.687, 0.688, 0.684]","[0.933988332821615, 0.933681301811483, 0.933681301811483, 0.933681301811483, 0.933681301811483]"
2,0.8,,"[0.5888441633122484, 0.5879815986198965, 0.5885566417481312, 0.5882691201840138, 0.5888441633122484]",,,"[0.803, 0.803, 0.8, 0.802, 0.803]",,,,"[0.9232422474669941, 0.9223211544365981, 0.921400061406202, 0.921400061406202, 0.9226281854467301]",,"[0.804, 0.809, 0.805, 0.806, 0.81]","[0.692, 0.695, 0.694, 0.7, 0.694]",,"[0.9296506137865911, 0.9216241737488197, 0.9263456090651558, 0.9225684608120869, 0.9258734655335222]",,"[0.5626797009775734, 0.5638297872340425, 0.5612420931569868, 0.5655549166187464, 0.5612420931569868]","[0.9318391157506908, 0.9318391157506908, 0.9327602087810869, 0.9321461467608229, 0.9327602087810869]","[0.702, 0.701, 0.701, 0.699, 0.702]","[0.5618171362852213, 0.5629672225416906, 0.5618171362852213, 0.5652673950546291, 0.5646923519263944]","[0.9173748819641171, 0.9131255901794145, 0.9183191690273843, 0.9211520302171861, 0.9183191690273843]","[0.9318391157506908, 0.9330672397912189, 0.9321461467608229, 0.9324531777709548, 0.9324531777709548]","[0.805, 0.808, 0.807, 0.806, 0.805]",,"[0.705, 0.704, 0.704, 0.694, 0.708]","[0.9225684608120869, 0.9197355996222851, 0.9202077431539188, 0.9206798866855525, 0.9216241737488197]",,,"[0.9315320847405588, 0.933681301811483, 0.9312250537304267, 0.9324531777709548, 0.9321461467608229]","[0.809, 0.805, 0.808, 0.811, 0.81]",,,"[0.704, 0.704, 0.705, 0.705, 0.702]","[0.5606670500287522, 0.5621046578493387, 0.5644048303622772, 0.5612420931569868, 0.5646923519263944]",,"[0.9202077431539188, 0.9220963172804533, 0.9211520302171861, 0.9225684608120869, 0.9206798866855525]",,"[0.701, 0.701, 0.697, 0.699, 0.695]",,"[0.799, 0.798, 0.796, 0.799, 0.793]","[0.675, 0.673, 0.674, 0.678, 0.677]","[0.9290758366595027, 0.9299969296898987, 0.9281547436291065, 0.9296898986797667, 0.9287688056493706]"
3,0.7,,"[0.578205865439908, 0.5807935595169638, 0.5764807360552041, 0.5764807360552041, 0.581943645773433]",,,"[0.807, 0.803, 0.806, 0.805, 0.804]",,,,"[0.9134172551427694, 0.9146453791832975, 0.9112680380718453, 0.9131102241326374, 0.9143383481731655]",,"[0.804, 0.806, 0.803, 0.807, 0.806]","[0.69, 0.69, 0.687, 0.688, 0.691]",,"[0.9192634560906515, 0.9202077431539188, 0.9192634560906515, 0.9197355996222851, 0.9154863078375827]",,"[0.5460034502587694, 0.5416906267970097, 0.5442783208740656, 0.5396779758481887, 0.542840713053479]","[0.9260055265581824, 0.9250844335277864, 0.9247774025176543, 0.9263125575683144, 0.9275406816088425]","[0.7, 0.7, 0.695, 0.7, 0.7]","[0.5506037952846463, 0.5560667050028753, 0.5500287521564118, 0.5514663599769982, 0.5480161012075906]","[0.9183191690273843, 0.9244570349386213, 0.9178470254957507, 0.902738432483475, 0.9211520302171861]","[0.9306109917101627, 0.9306109917101627, 0.9324531777709548, 0.9293828676696346, 0.9306109917101627]","[0.791, 0.793, 0.794, 0.792, 0.798]",,"[0.703, 0.704, 0.707, 0.703, 0.702]","[0.9230406043437205, 0.9202077431539188, 0.9220963172804533, 0.9211520302171861, 0.9225684608120869]",,,"[0.9155664722136936, 0.9155664722136936, 0.9155664722136936, 0.9106539760515812, 0.9152594412035615]","[0.81, 0.808, 0.808, 0.807, 0.809]",,,"[0.687, 0.685, 0.681, 0.683, 0.688]","[0.5454284071305348, 0.5448533640023002, 0.5442783208740656, 0.5425531914893617, 0.5422656699252444]",,"[0.9169027384324835, 0.9173748819641171, 0.9169027384324835, 0.9202077431539188, 0.9192634560906515]",,"[0.693, 0.692, 0.694, 0.686, 0.69]",,"[0.808, 0.806, 0.807, 0.807, 0.807]","[0.683, 0.682, 0.687, 0.683, 0.686]","[0.9287688056493706, 0.9263125575683144, 0.9281547436291065, 0.9275406816088425, 0.9278477126189745]"
4,0.6,,"[0.5523289246693502, 0.5531914893617021, 0.5546290971822887, 0.554916618746406, 0.5534790109258194]",,,"[0.812, 0.809, 0.809, 0.813, 0.809]",,,,"[0.9149524101934295, 0.9174086582744857, 0.9164875652440897, 0.9171016272643537, 0.9158735032238257]",,"[0.805, 0.812, 0.804, 0.805, 0.805]","[0.681, 0.681, 0.681, 0.68, 0.681]",,"[0.9178470254957507, 0.9230406043437205, 0.9131255901794145, 0.9140698772426817, 0.9202077431539188]",,"[0.5319148936170213, 0.5345025876940771, 0.5322024151811385, 0.5336400230017251, 0.5319148936170213]","[0.9303039607000307, 0.9290758366595027, 0.9293828676696346, 0.9290758366595027, 0.9306109917101627]","[0.702, 0.701, 0.705, 0.701, 0.707]","[0.5376653248993675, 0.5342150661299597, 0.5350776308223116, 0.5379528464634847, 0.5382403680276021]","[0.9197355996222851, 0.9258734655335222, 0.9230406043437205, 0.9173748819641171, 0.9112370160528801]","[0.9367516119128032, 0.9392078599938594, 0.9355234878722751, 0.9370586429229352, 0.9373656739330672]","[0.804, 0.803, 0.8, 0.797, 0.798]",,"[0.684, 0.683, 0.686, 0.684, 0.688]","[0.9187913125590179, 0.9135977337110481, 0.8762983947119924, 0.9098205854579793, 0.9145420207743153]",,,"[0.9103469450414492, 0.9097328830211852, 0.9100399140313171, 0.907890696960393, 0.9124961621123734]","[0.809, 0.806, 0.813, 0.808, 0.805]",,,"[0.683, 0.685, 0.685, 0.684, 0.682]","[0.5572167912593444, 0.5575043128234618, 0.5612420931569868, 0.5580793559516963, 0.5554916618746406]",,"[0.9197355996222851, 0.9017941454202077, 0.9187913125590179, 0.9154863078375827, 0.9017941454202077]",,"[0.683, 0.684, 0.682, 0.684, 0.685]",,"[0.782, 0.777, 0.776, 0.779, 0.777]","[0.68, 0.683, 0.681, 0.684, 0.69]","[0.9263125575683144, 0.9275406816088425, 0.9272336505987104, 0.9269266195885785, 0.9287688056493706]"
5,0.5,,"[0.5342150661299597, 0.5330649798734906, 0.5345025876940771, 0.5345025876940771, 0.5379528464634847]",,,"[0.813, 0.818, 0.817, 0.815, 0.815]",,,,"[0.9260055265581824, 0.9247774025176543, 0.9266195885784464, 0.9278477126189745, 0.9260055265581824]",,"[0.803, 0.802, 0.811, 0.8, 0.804]","[0.674, 0.673, 0.675, 0.676, 0.67]",,"[0.9140698772426817, 0.9164305949008499, 0.9126534466477809, 0.9206798866855525, 0.9192634560906515]",,"[0.5244393329499712, 0.5253018976423232, 0.527027027027027, 0.5287521564117309, 0.5276020701552616]","[0.9306109917101627, 0.9315320847405588, 0.9303039607000307, 0.9293828676696346, 0.9290758366595027]","[0.704, 0.706, 0.706, 0.708, 0.701]","[0.5244393329499712, 0.5258769407705578, 0.5235767682576193, 0.5276020701552616, 0.5276020701552616]","[0.8748819641170916, 0.8819641170915958, 0.8999055712936733, 0.8512747875354107, 0.8762983947119924]","[0.933681301811483, 0.9324531777709548, 0.9327602087810869, 0.933681301811483, 0.9324531777709548]","[0.8, 0.802, 0.808, 0.804, 0.8]",,"[0.698, 0.7, 0.698, 0.702, 0.701]","[0.9131255901794145, 0.9126534466477809, 0.9150141643059491, 0.9135977337110481, 0.9150141643059491]",,,"[0.9247774025176543, 0.9223211544365981, 0.9241633404973902, 0.9244703715075223, 0.92109303039607]","[0.799, 0.793, 0.792, 0.792, 0.8]",,,"[0.701, 0.703, 0.706, 0.699, 0.708]","[0.5264519838987924, 0.5235767682576193, 0.5276020701552616, 0.5253018976423232, 0.5273145485911443]",,"[0.9145420207743153, 0.8182247403210576, 0.9150141643059491, 0.9211520302171861, 0.9206798866855525]",,"[0.688, 0.686, 0.687, 0.683, 0.685]",,"[0.791, 0.784, 0.782, 0.789, 0.783]","[0.69, 0.691, 0.69, 0.682, 0.691]","[0.9303039607000307, 0.9306109917101627, 0.9293828676696346, 0.9303039607000307, 0.9315320847405588]"
6,0.4,,"[0.5253018976423232, 0.5250143760782059, 0.5267395054629097, 0.5281771132834963, 0.5264519838987924]",,,"[0.815, 0.812, 0.812, 0.814, 0.809]",,,,"[0.9109610070617132, 0.9057414798894688, 0.9063555419097329, 0.9100399140313171, 0.9106539760515812]",,"[0.784, 0.774, 0.781, 0.779, 0.774]","[0.675, 0.676, 0.676, 0.677, 0.679]",,"[0.9178470254957507, 0.9183191690273843, 0.9159584513692163, 0.9192634560906515, 0.9192634560906515]",,"[0.5215641173087981, 0.5149511213341, 0.5253018976423232, 0.5189764232317424, 0.5212765957446809]","[0.9250844335277864, 0.9250844335277864, 0.9229352164568622, 0.9247774025176543, 0.9241633404973902]","[0.696, 0.701, 0.706, 0.705, 0.702]","[0.5221391604370328, 0.5221391604370328, 0.5221391604370328, 0.5212765957446809, 0.5221391604370328]","[0.9112370160528801, 0.9032105760151086, 0.9117091595845137, 0.9197355996222851, 0.9216241737488197]","[0.9306109917101627, 0.9296898986797667, 0.9312250537304267, 0.9309180227202948, 0.9315320847405588]","[0.802, 0.799, 0.801, 0.795, 0.798]",,"[0.699, 0.702, 0.699, 0.702, 0.699]","[0.8914069877242682, 0.8975448536355052, 0.8871576959395656, 0.9008498583569405, 0.8800755429650614]",,,"[0.9180227202947497, 0.9149524101934295, 0.9152594412035615, 0.9164875652440897, 0.9152594412035615]","[0.774, 0.769, 0.773, 0.775, 0.769]",,,"[0.701, 0.704, 0.7, 0.703, 0.705]","[0.5140885566417481, 0.5175388154111559, 0.5152386428982174, 0.5146635997699828, 0.5123634272570443]",,"[0.8890462700661, 0.8196411709159585, 0.8295561850802644, 0.8876298394711992, 0.8640226628895185]",,"[0.699, 0.699, 0.697, 0.698, 0.695]",,"[0.697, 0.694, 0.703, 0.698, 0.695]","[0.682, 0.68, 0.682, 0.675, 0.679]","[0.921400061406202, 0.9250844335277864, 0.9250844335277864, 0.9247774025176543, 0.9241633404973902]"
7,0.3,,"[0.49137435307648075, 0.49194939620471534, 0.49396204715353653, 0.4896492236917769, 0.48936170212765956]",,,"[0.812, 0.804, 0.808, 0.805, 0.804]",,,,"[0.9256984955480504, 0.9260055265581824, 0.9263125575683144, 0.9253914645379183, 0.9260055265581824]",,"[0.736, 0.733, 0.714, 0.743, 0.739]","[0.68, 0.684, 0.68, 0.679, 0.686]",,"[0.9202077431539188, 0.9178470254957507, 0.9159584513692163, 0.9169027384324835, 0.9135977337110481]",,"[0.4649223691776883, 0.46348476135710176, 0.4677975848188614, 0.46607245543415754, 0.4672225416906268]","[0.9060485108996008, 0.9100399140313171, 0.9106539760515812, 0.9091188210009211, 0.9069696039299969]","[0.659, 0.652, 0.661, 0.659, 0.658]","[0.5100632547441059, 0.5086256469235193, 0.5115008625646924, 0.5106382978723404, 0.5097757331799885]","[0.9150141643059491, 0.9150141643059491, 0.9183191690273843, 0.9126534466477809, 0.9154863078375827]","[0.9275406816088425, 0.9287688056493706, 0.9296898986797667, 0.9284617746392385, 0.9278477126189745]","[0.794, 0.788, 0.793, 0.797, 0.797]",,"[0.702, 0.704, 0.702, 0.705, 0.709]","[0.785646836638338, 0.7644003777148253, 0.7086874409820585, 0.7256846081208688, 0.7412653446647781]",,,"[0.9201719373656739, 0.9192508443352778, 0.9171016272643537, 0.920478968375806, 0.9183297513048818]","[0.738, 0.741, 0.736, 0.746, 0.74]",,,"[0.676, 0.679, 0.682, 0.681, 0.667]","[0.5011500862564693, 0.49856239217941345, 0.49827487061529613, 0.5008625646923519, 0.4997124784358827]",,"[0.7252124645892352, 0.7034938621340887, 0.7082152974504249, 0.704438149197356, 0.7554296506137866]",,"[0.7, 0.698, 0.699, 0.695, 0.696]",,"[0.677, 0.682, 0.675, 0.676, 0.676]","[0.688, 0.685, 0.685, 0.686, 0.68]","[0.9296898986797667, 0.9284617746392385, 0.9269266195885785, 0.9266195885784464, 0.9263125575683144]"
8,0.2,,"[0.45169637722829215, 0.44537090281771136, 0.4519838987924094, 0.4445083381253594, 0.4519838987924094]",,,"[0.759, 0.771, 0.764, 0.765, 0.763]",,,,"[0.9171016272643537, 0.9177156892846178, 0.9158735032238257, 0.9171016272643537, 0.9167945962542217]",,"[0.669, 0.675, 0.662, 0.674, 0.688]","[0.668, 0.67, 0.671, 0.667, 0.673]",,"[0.8479697828139755, 0.8536355051935789, 0.8942398489140698, 0.9055712936732767, 0.8923512747875354]",,"[0.4631972397929845, 0.46837262794709605, 0.46923519263944796, 0.46348476135710176, 0.46520989074180563]","[0.8827141541295671, 0.882407123119435, 0.8836352471599631, 0.8857844642308873, 0.880257906048511]","[0.576, 0.582, 0.577, 0.58, 0.57]","[0.4528464634847614, 0.4548591144335825, 0.46175963197239794, 0.4548591144335825, 0.4545715928694652]","[0.6779981114258735, 0.7412653446647781, 0.830028328611898, 0.7639282341831917, 0.7016052880075543]","[0.9250844335277864, 0.9247774025176543, 0.9253914645379183, 0.9250844335277864, 0.9241633404973902]","[0.744, 0.754, 0.747, 0.749, 0.746]",,"[0.658, 0.659, 0.661, 0.659, 0.66]","[0.7780925401322002, 0.902738432483475, 0.7762039660056658, 0.7634560906515581, 0.657695939565628]",,,"[0.9180227202947497, 0.9158735032238257, 0.9195578753454099, 0.9198649063555419, 0.9180227202947497]","[0.656, 0.655, 0.65, 0.658, 0.659]",,,"[0.677, 0.665, 0.666, 0.666, 0.677]","[0.46003450258769407, 0.46262219666474985, 0.46003450258769407, 0.4643473260494537, 0.46175963197239794]",,"[0.6690273843248348, 0.601038715769594, 0.6473087818696884, 0.6005665722379604, 0.6468366383380547]",,"[0.678, 0.668, 0.675, 0.679, 0.678]",,"[0.629, 0.626, 0.63, 0.627, 0.63]","[0.628, 0.634, 0.613, 0.626, 0.632]","[0.9299969296898987, 0.9303039607000307, 0.9312250537304267, 0.9306109917101627, 0.9299969296898987]"
9,0.1,,"[0.4151811385853939, 0.4123059229442208, 0.4125934445083381, 0.4169062679700978, 0.41086831512363425]",,,"[0.744, 0.75, 0.743, 0.75, 0.745]",,,,"[0.9217070924163341, 0.920478968375806, 0.9229352164568622, 0.9198649063555419, 0.9232422474669941]",,,"[0.704, 0.704, 0.702, 0.704, 0.703]",,"[0.7592067988668555, 0.7554296506137866, 0.7686496694995278, 0.7695939565627951, 0.7582625118035883]",,"[0.4286946520989074, 0.4284071305347901, 0.4278320874065555, 0.4261069580218516, 0.4347326049453709]","[0.8415719987718759, 0.8572305802886091, 0.855081363217685, 0.854774332207553, 0.854774332207553]","[0.391, 0.396, 0.395, 0.4, 0.397]","[0.4120184013801035, 0.41575618171362855, 0.4111558366877516, 0.4151811385853939, 0.41633122484186313]","[0.78328611898017, 0.7568460812086875, 0.7549575070821529, 0.78328611898017, 0.7412653446647781]","[0.7918329751304882, 0.7985876573533927, 0.8041142155357691, 0.8151673319005219, 0.8084126496776174]","[0.606, 0.623, 0.605, 0.61, 0.62]",,"[0.707, 0.71, 0.703, 0.705, 0.707]","[0.7115203021718602, 0.8550519357884797, 0.7124645892351275, 0.6548630783758262, 0.8186968838526912]",,,"[0.9164875652440897, 0.9174086582744857, 0.9183297513048818, 0.9183297513048818, 0.9152594412035615]","[0.487, 0.478, 0.472, 0.461, 0.463]",,,"[0.66, 0.647, 0.651, 0.661, 0.656]","[0.3783783783783784, 0.3763657274295572, 0.3766532489936745, 0.3801035077630822, 0.3783783783783784]",,"[0.5094428706326724, 0.6303116147308782, 0.5448536355051936, 0.5325779036827195, 0.48630783758262514]",,"[0.674, 0.682, 0.677, 0.672, 0.679]",,"[0.478, 0.48, 0.468, 0.475, 0.479]","[0.345, 0.347, 0.35, 0.342, 0.343]","[0.8762665029167946, 0.8784157199877187, 0.869204789683758, 0.8793368130181148, 0.8799508750383789]"
