,DBLP_CLL_pca_30,ACM_CLL_pca_30_5_pairs_0,output_5_pairs_runs.log,ACM_CCA_pca_300,IMDB_CLL_pca_300,Citeseer_AUTO_pca_30,Citeseer_None_pca_30,IMDB_AUTO_pca_30,DBLP_AUTO_pca_30,ACM_AUTO_pca_30,Actor_CLL_pca_30,Actor_AUTO_pca_30,ACM_AUTO_pca_300,ACM_CCA_pca_30,IMDB_CCA_pca_300,DBLP_CLL_pca_30_5_pairs_0,IMDB_CLNL_pca_30,IMDB_AUTO_pca_30_5_pairs_0,Actor_None_pca_30,DBLP_CLNL_pca_30,DBLP_CCA_pca_30,cit_cl_linear_pca_10,IMDB_CCA_pca_30,IMDB_CLNL_pca_30_5_pairs_0,ratio,Citeseer_CLNL_pca_30,DBLP_CLNL_pca_30_5_pairs_0,IMDB_CCA_pca_30_5_pairs_0,ACM_CCA_pca_30_5_pairs_0,DBLP_AUTO_pca_30_5_pairs_0,DBLP_CCA_pca_30_5_pairs_0,IMDB_AUTO_pca_300,ACM_CLL_pca_30,Actor_CCA_pca_30,ACM_AUTO_pca_30_5_pairs_0,Citeseer_CLL_pca_30,ACM_CLNL_pca_30,IMDB_CLL_pca_30,Actor_CLNL_pca_30,ACM_CLL_pca_300,ACM_CLNL_pca_30_5_pairs_0,IMDB_CLL_pca_30_5_pairs_0,IMDB_CLNL_pca_300
0,,"[0.9324834749763928, 0.9145420207743153, 0.9235127478753541, 0.9169027384324835, 0.8616619452313503]",,,,,,,,,,,,,,"[0.9370586429229352, 0.9370586429229352, 0.935216456862143, 0.9361375498925392, 0.9355234878722751]",,"[0.5684301322599195, 0.5701552616446234, 0.5675675675675675, 0.569867740080506, 0.5678550891316849]",,,,,,"[0.5710178263369753, 0.5681426106958022, 0.5684301322599195, 0.5687176538240368, 0.5687176538240368]",1.0,,"[0.9370586429229352, 0.9361375498925392, 0.934602394841879, 0.9355234878722751, 0.935216456862143]","[0.5672800460034503, 0.5690051753881541, 0.5684301322599195, 0.5669925244393329, 0.5687176538240368]","[0.9225684608120869, 0.9268177525967894, 0.9235127478753541, 0.7785646836638338, 0.9268177525967894]","[0.9364445809026711, 0.9361375498925392, 0.934602394841879, 0.9349094258520111, 0.9367516119128032]","[0.9358305188824071, 0.9349094258520111, 0.9370586429229352, 0.9367516119128032, 0.9349094258520111]",,,,"[0.9287063267233239, 0.832389046270066, 0.927289896128423, 0.8328611898016998, 0.931067044381492]",,,,,,"[0.9220963172804533, 0.9301227573182247, 0.9178470254957507, 0.9282341831916903, 0.7714825306893296]","[0.5692926969522715, 0.5675675675675675, 0.5701552616446234, 0.5684301322599195, 0.5672800460034503]",
1,,"[0.9225684608120869, 0.9282341831916903, 0.927289896128423, 0.9282341831916903, 0.9173748819641171]",,,,,,,,,,,,,,"[0.9272336505987104, 0.9250844335277864, 0.9235492784771262, 0.9244703715075223, 0.9238563094872582]",,"[0.5600920069005175, 0.554916618746406, 0.5592294422081656, 0.5577918343875791, 0.5554916618746406]",,,,,,"[0.5701552616446234, 0.5704427832087406, 0.5695802185163887, 0.5687176538240368, 0.5658424381828637]",0.9,,"[0.9330672397912189, 0.9318391157506908, 0.9312250537304267, 0.9318391157506908, 0.933681301811483]","[0.5589419206440484, 0.5598044853364003, 0.5577918343875791, 0.5595169637722829, 0.5589419206440484]","[0.9065155807365439, 0.9098205854579793, 0.9187913125590179, 0.9183191690273843, 0.9225684608120869]","[0.9318391157506908, 0.9327602087810869, 0.9318391157506908, 0.935216456862143, 0.9327602087810869]","[0.9284617746392385, 0.9281547436291065, 0.9281547436291065, 0.9275406816088425, 0.9275406816088425]",,,,"[0.9258734655335222, 0.9183191690273843, 0.8734655335221907, 0.9254013220018886, 0.9254013220018886]",,,,,,"[0.9291784702549575, 0.9239848914069877, 0.8593012275731823, 0.9296506137865911, 0.9291784702549575]","[0.5629672225416906, 0.558654399079931, 0.5612420931569868, 0.5609545715928694, 0.5595169637722829]",
2,,"[0.9197355996222851, 0.9178470254957507, 0.9216241737488197, 0.8739376770538244, 0.8932955618508026]",,,,,,,,,,,,,,"[0.9253914645379183, 0.9260055265581824, 0.9256984955480504, 0.9260055265581824, 0.9250844335277864]",,"[0.5557791834387579, 0.5483036227717079, 0.5540540540540541, 0.5526164462334675, 0.550316273720529]",,,,,,"[0.5830937320299022, 0.5796434732604946, 0.577343300747556, 0.5799309948246119, 0.5813686026451984]",0.8,,"[0.9232422474669941, 0.9272336505987104, 0.9244703715075223, 0.9232422474669941, 0.9229352164568622]","[0.5471535365152387, 0.550316273720529, 0.5508913168487637, 0.5494537090281771, 0.5491661874640598]","[0.9216241737488197, 0.9178470254957507, 0.908876298394712, 0.9263456090651558, 0.9192634560906515]","[0.9235492784771262, 0.9186367823150138, 0.9226281854467301, 0.9235492784771262, 0.9229352164568622]","[0.9155664722136936, 0.9124961621123734, 0.9124961621123734, 0.9124961621123734, 0.9155664722136936]",,,,"[0.9187913125590179, 0.9235127478753541, 0.9249291784702549, 0.9206798866855525, 0.9211520302171861]",,,,,,"[0.8999055712936733, 0.927289896128423, 0.9282341831916903, 0.9187913125590179, 0.9230406043437205]","[0.5451408855664175, 0.5480161012075906, 0.5471535365152387, 0.5500287521564118, 0.5491661874640598]",
3,,"[0.9230406043437205, 0.9239848914069877, 0.9230406043437205, 0.9225684608120869, 0.9164305949008499]",,,,,,,,,,,,,,"[0.8885477433220755, 0.8913110224132638, 0.8891618053423396, 0.8842493091802271, 0.8891618053423396]",,"[0.5287521564117309, 0.5276020701552616, 0.5244393329499712, 0.527889591719379, 0.5296147211040828]",,,,,,"[0.5600920069005175, 0.5618171362852213, 0.5575043128234618, 0.5629672225416906, 0.5635422656699253]",0.7,,"[0.9134172551427694, 0.9146453791832975, 0.9106539760515812, 0.9134172551427694, 0.9109610070617132]","[0.527889591719379, 0.5276020701552616, 0.5258769407705578, 0.5264519838987924, 0.5253018976423232]","[0.9183191690273843, 0.9216241737488197, 0.9220963172804533, 0.9117091595845137, 0.9169027384324835]","[0.9223211544365981, 0.9241633404973902, 0.9223211544365981, 0.920785999385938, 0.9253914645379183]","[0.9026711697881487, 0.8971446116057722, 0.9011360147374885, 0.9045133558489408, 0.8996008596868283]",,,,"[0.9220963172804533, 0.8833805476864967, 0.9225684608120869, 0.9258734655335222, 0.8984891406987724]",,,,,,"[0.9131255901794145, 0.9216241737488197, 0.9183191690273843, 0.9145420207743153, 0.9206798866855525]","[0.5365152386428982, 0.5336400230017251, 0.5345025876940771, 0.5299022426682001, 0.5293271995399655]",
4,,"[0.9206798866855525, 0.9216241737488197, 0.9244570349386213, 0.9206798866855525, 0.9211520302171861]",,,,,,,,,,,,,,"[0.8873196192815475, 0.8906969603929997, 0.8928461774639238, 0.8857844642308873, 0.8827141541295671]",,"[0.5434157561817137, 0.5457159286946521, 0.5454284071305348, 0.5468660149511213, 0.5460034502587694]",,,,,,"[0.5405405405405406, 0.5416906267970097, 0.5368027602070156, 0.5359401955146637, 0.5388154111558366]",0.6,,"[0.9198649063555419, 0.9195578753454099, 0.920478968375806, 0.9189438133251459, 0.9171016272643537]","[0.5103507763082231, 0.50747556066705, 0.5100632547441059, 0.5086256469235193, 0.5094882116158712]","[0.9032105760151086, 0.9206798866855525, 0.9187913125590179, 0.9150141643059491, 0.9202077431539188]","[0.934602394841879, 0.9330672397912189, 0.933681301811483, 0.9256984955480504, 0.9333742708013509]","[0.9069696039299969, 0.9005219527172245, 0.9026711697881487, 0.9038992938286767, 0.9020571077678845]",,,,"[0.9192634560906515, 0.9183191690273843, 0.9145420207743153, 0.898961284230406, 0.9112370160528801]",,,,,,"[0.9183191690273843, 0.9098205854579793, 0.9258734655335222, 0.9258734655335222, 0.9239848914069877]","[0.516676250718804, 0.5189764232317424, 0.5172512938470385, 0.5207015526164462, 0.5172512938470385]",
5,,"[0.8711048158640227, 0.9145420207743153, 0.8781869688385269, 0.8375826251180358, 0.8715769593956563]",,,,,,,,,,,,,,"[0.9020571077678845, 0.9008289837273564, 0.9045133558489408, 0.9042063248388087, 0.9023641387780166]",,"[0.5092006900517538, 0.50747556066705, 0.5071880391029328, 0.5071880391029328, 0.5129384703852788]",,,,,,"[0.5172512938470385, 0.5178263369752731, 0.5247268545140885, 0.523289246693502, 0.5235767682576193]",0.5,,"[0.9226281854467301, 0.9232422474669941, 0.9235492784771262, 0.9247774025176543, 0.9235492784771262]","[0.5046003450258769, 0.5011500862564693, 0.5057504312823462, 0.5077630822311673, 0.511213341000575]","[0.9145420207743153, 0.9173748819641171, 0.7941454202077431, 0.7667610953729934, 0.9202077431539188]","[0.9299969296898987, 0.9296898986797667, 0.9284617746392385, 0.9287688056493706, 0.9296898986797667]","[0.9183297513048818, 0.9155664722136936, 0.9146453791832975, 0.9223211544365981, 0.9161805342339576]",,,,"[0.9169027384324835, 0.9117091595845137, 0.9164305949008499, 0.9169027384324835, 0.9145420207743153]",,,,,,"[0.9206798866855525, 0.9173748819641171, 0.9235127478753541, 0.9220963172804533, 0.9216241737488197]","[0.5083381253594019, 0.49884991374353077, 0.5051753881541116, 0.5060379528464635, 0.5017251293847038]",
6,,"[0.8068932955618509, 0.7752596789423984, 0.9197355996222851, 0.9230406043437205, 0.9225684608120869]",,,,,,,,,,,,,,"[0.8977586736260362, 0.9011360147374885, 0.8965305495855082, 0.894688363524716, 0.895609456555112]",,"[0.49827487061529613, 0.49309948246118457, 0.49482461184588844, 0.496262219666475, 0.49856239217941345]",,,,,,"[0.5189764232317424, 0.5201265094882116, 0.5209890741805635, 0.5181138585393904, 0.5198389879240943]",0.4,,"[0.9186367823150138, 0.9235492784771262, 0.9195578753454099, 0.9217070924163341, 0.9189438133251459]","[0.50747556066705, 0.5092006900517538, 0.5100632547441059, 0.5083381253594019, 0.5115008625646924]","[0.8961284230406044, 0.8975448536355052, 0.836166194523135, 0.8002832861189801, 0.842304060434372]","[0.9272336505987104, 0.9306109917101627, 0.9306109917101627, 0.9284617746392385, 0.9293828676696346]","[0.9011360147374885, 0.8953024255449801, 0.894381332514584, 0.8900828983727357, 0.8903899293828677]",,,,"[0.9093484419263456, 0.892823418319169, 0.8909348441926346, 0.9150141643059491, 0.9079320113314447]",,,,,,"[0.9135977337110481, 0.7667610953729934, 0.9145420207743153, 0.9135977337110481, 0.9150141643059491]","[0.503737780333525, 0.5057504312823462, 0.5040253018976423, 0.49856239217941345, 0.5014376078205866]",
7,,"[0.7667610953729934, 0.9131255901794145, 0.8196411709159585, 0.7237960339943342, 0.8692162417374882]",,,,,,,,,,,,,,"[0.9060485108996008, 0.9115750690819773, 0.9094258520110531, 0.9085047589806571, 0.9118821000921093]",,"[0.48849913743530765, 0.48821161587119033, 0.4890741805635423, 0.4890741805635423, 0.4896492236917769]",,,,,,"[0.4933870040253019, 0.4836112708453134, 0.4778608395629672, 0.4798734905117884, 0.47929844738355376]",0.3,,"[0.907890696960393, 0.9057414798894688, 0.9051274178692048, 0.908197727970525, 0.9106539760515812]","[0.44910868315123637, 0.44968372627947095, 0.44968372627947095, 0.45227142035652673, 0.4545715928694652]","[0.6303116147308782, 0.7341831916902738, 0.714353163361662, 0.6756373937677054, 0.8305004721435316]","[0.9238563094872582, 0.9269266195885785, 0.9263125575683144, 0.9263125575683144, 0.9284617746392385]","[0.920785999385938, 0.9244703715075223, 0.9244703715075223, 0.9263125575683144, 0.9229352164568622]",,,,"[0.7861189801699717, 0.7252124645892352, 0.7271010387157696, 0.7582625118035883, 0.7554296506137866]",,,,,,"[0.9173748819641171, 0.9145420207743153, 0.9159584513692163, 0.9131255901794145, 0.9013220018885741]","[0.5011500862564693, 0.4942495687176538, 0.49942495687176536, 0.4997124784358827, 0.4991374353076481]",
8,,"[0.7988668555240793, 0.6425873465533523, 0.8031161473087819, 0.6213408876298395, 0.8130311614730878]",,,,,,,,,,,,,,"[0.9118821000921093, 0.9177156892846178, 0.9152594412035615, 0.9143383481731655, 0.9118821000921093]",,"[0.45802185163887293, 0.4499712478435883, 0.4528464634847614, 0.45342150661299596, 0.45629672225416906]",,,,,,"[0.4186313973548016, 0.41920644048303624, 0.41000575043128235, 0.4169062679700978, 0.43041978148361126]",0.2,,"[0.9217070924163341, 0.9195578753454099, 0.9269266195885785, 0.9287688056493706, 0.9263125575683144]","[0.45342150661299596, 0.4548591144335825, 0.4545715928694652, 0.4577343300747556, 0.4528464634847614]","[0.6152030217186024, 0.6062322946175638, 0.48677998111425874, 0.5165250236071766, 0.8253068932955618]","[0.9266195885784464, 0.9284617746392385, 0.9263125575683144, 0.9226281854467301, 0.9263125575683144]","[0.9115750690819773, 0.9137242861529015, 0.9146453791832975, 0.9134172551427694, 0.9140313171630334]",,,,"[0.8980169971671388, 0.7960339943342776, 0.8545797922568461, 0.8975448536355052, 0.8961284230406044]",,,,,,"[0.9117091595845137, 0.8791312559017942, 0.9098205854579793, 0.8951841359773371, 0.8682719546742209]","[0.4499712478435883, 0.44910868315123637, 0.4384703852788959, 0.4499712478435883, 0.4439332949971248]",
9,,"[0.710576015108593, 0.6529745042492918, 0.7544853635505193, 0.8654390934844193, 0.7455146364494807]",,,,,,,,,,,,,,"[0.9164875652440897, 0.9137242861529015, 0.9143383481731655, 0.9146453791832975, 0.9174086582744857]",,"[0.37061529614721106, 0.3755031627372053, 0.3723404255319149, 0.3729154686601495, 0.37032777458309374]",,,,,,"[0.4056929269695227, 0.40741805635422657, 0.40425531914893614, 0.4068430132259919, 0.4016676250718804]",0.1,,"[0.9091188210009211, 0.9143383481731655, 0.9091188210009211, 0.9140313171630334, 0.9066625729198649]","[0.4249568717653824, 0.4148936170212766, 0.41949396204715356, 0.42581943645773435, 0.4252443933294997]","[0.49291784702549574, 0.7011331444759207, 0.5358829084041549, 0.5594900849858357, 0.3659112370160529]","[0.8133251458397298, 0.8222290451335585, 0.8130181148295977, 0.81486030089039, 0.7967454712926005]","[0.9186367823150138, 0.9174086582744857, 0.9069696039299969, 0.9201719373656739, 0.9195578753454099]",,,,"[0.8881019830028328, 0.8347497639282342, 0.8932955618508026, 0.8243626062322946, 0.8729933899905571]",,,,,,"[0.7535410764872521, 0.7596789423984891, 0.7549575070821529, 0.78328611898017, 0.7719546742209632]","[0.40454284071305346, 0.4019551466359977, 0.4039677975848189, 0.4010925819436458, 0.4016676250718804]",
