,DBLP_AUTO_pca_30_5_pairs_0,Citeseer_AUTO_pca_30,IMDB_CCA_pca_30_5_pairs_0,DBLP_CCA_pca_30,ACM_AUTO_pca_30,DBLP_CLL_pca_30_5_pairs_0,output_5_pairs_runs.log,ratio,IMDB_CLL_pca_30,ACM_CLL_pca_30_5_pairs_0,ACM_CCA_pca_30_5_pairs_0,ACM_AUTO_pca_30_5_pairs_0,Citeseer_CLNL_pca_30,DBLP_CLL_pca_30,ACM_CLNL_pca_30,DBLP_CLNL_pca_30_5_pairs_0,Actor_AUTO_pca_30,IMDB_CLNL_pca_300,IMDB_CCA_pca_30,Citeseer_CLL_pca_30,ACM_CCA_pca_300,IMDB_CLNL_pca_30,IMDB_AUTO_pca_30_5_pairs_0,Actor_CLL_pca_30,Actor_CCA_pca_30,IMDB_CCA_pca_300,Actor_None_pca_30,ACM_CLL_pca_30,IMDB_AUTO_pca_300,ACM_AUTO_pca_300,DBLP_CCA_pca_30_5_pairs_0,IMDB_CLL_pca_30_5_pairs_0,ACM_CLNL_pca_30_5_pairs_0,Actor_CLNL_pca_30,DBLP_CLNL__5_pairs_0,DBLP_CLNL_pca_30,Citeseer_None_pca_30,cit_cl_linear_pca_10,IMDB_CLL_pca_300,ACM_CCA_pca_30,DBLP_AUTO_pca_30,IMDB_CLNL_pca_30_5_pairs_0,IMDB_AUTO_pca_30,ACM_CLL_pca_300
0,,,"[0.49769982748706154, 0.5184013801035078, 0.511213341000575, 0.5043128234617597, 0.5106382978723404]",,,,,1.0,,,,,,,,,,,,,,,"[0.5221391604370328, 0.5051753881541116, 0.5261644623346751, 0.5207015526164462, 0.49827487061529613]",,,,,,,,,"[0.5123634272570443, 0.5086256469235193, 0.49194939620471534, 0.5089131684876366, 0.5143760782058654]",,,,,,,,,,"[0.515813686026452, 0.5017251293847038, 0.4902242668200115, 0.49309948246118457, 0.49137435307648075]",,
1,,,"[0.4953996549741231, 0.49252443933295, 0.49597469810235767, 0.48849913743530765, 0.5106382978723404]",,,,,0.9,,,,,,,,,,,,,,,"[0.5057504312823462, 0.5017251293847038, 0.4864864864864865, 0.503737780333525, 0.5198389879240943]",,,,,,,,,"[0.5106382978723404, 0.5077630822311673, 0.519551466359977, 0.49827487061529613, 0.5051753881541116]",,,,,,,,,,"[0.5149511213341, 0.5238642898217366, 0.503737780333525, 0.4815986198964922, 0.4968372627947096]",,
2,,,"[0.4991374353076481, 0.46175963197239794, 0.4741230592294422, 0.4928119608970673, 0.4795859689476711]",,,,,0.8,,,,,,,,,,,,,,,"[0.4861989649223692, 0.49194939620471534, 0.4836112708453134, 0.4965497412305923, 0.47096032202415183]",,,,,,,,,"[0.4933870040253019, 0.4997124784358827, 0.4807360552041403, 0.48504887866589996, 0.5066129959746981]",,,,,,,,,,"[0.5304772857964347, 0.5155261644623347, 0.49942495687176536, 0.5100632547441059, 0.5051753881541116]",,
3,,,"[0.4643473260494537, 0.4410580793559517, 0.4436457734330075, 0.45342150661299596, 0.4611845888441633]",,,,,0.7,,,,,,,,,,,,,,,"[0.48936170212765956, 0.48303622771707877, 0.47556066705002875, 0.48217366302472686, 0.49108683151236343]",,,,,,,,,"[0.45917193789534216, 0.4738355376653249, 0.49309948246118457, 0.46348476135710176, 0.47556066705002875]",,,,,,,,,,"[0.5066129959746981, 0.5086256469235193, 0.5123634272570443, 0.49396204715353653, 0.5057504312823462]",,
4,,,"[0.47556066705002875, 0.43875790684301325, 0.45255894192064405, 0.45342150661299596, 0.4183438757906843]",,,,,0.6,,,,,,,,,,,,,,,"[0.47901092581943644, 0.4749856239217941, 0.46233467510063253, 0.47297297297297297, 0.47297297297297297]",,,,,,,,,"[0.4706728004600345, 0.4712478435882691, 0.476710753306498, 0.4606095457159287, 0.4502587694077056]",,,,,,,,,,"[0.48849913743530765, 0.48102357676825763, 0.48476135710178264, 0.47297297297297297, 0.4677975848188614]",,
5,,,"[0.42581943645773435, 0.4611845888441633, 0.4209315698677401, 0.4353076480736055, 0.4583093732029902]",,,,,0.5,,,,,,,,,,,,,,,"[0.4399079930994825, 0.44537090281771136, 0.45169637722829215, 0.4482461184588844, 0.44623346751006326]",,,,,,,,,"[0.45802185163887293, 0.44939620471535363, 0.4631972397929845, 0.484186313973548, 0.45629672225416906]",,,,,,,,,,"[0.4677975848188614, 0.48476135710178264, 0.46981023576768255, 0.4672225416906268, 0.4577343300747556]",,
6,,,"[0.44594594594594594, 0.46463484761357104, 0.4465209890741806, 0.4611845888441633, 0.47182288671650374]",,,,,0.4,,,,,,,,,,,,,,,"[0.44680851063829785, 0.44910868315123637, 0.4456584243818286, 0.4427832087406556, 0.4807360552041403]",,,,,,,,,"[0.44537090281771136, 0.46175963197239794, 0.45313398504887864, 0.46233467510063253, 0.4594594594594595]",,,,,,,,,,"[0.48821161587119033, 0.4902242668200115, 0.4896492236917769, 0.48849913743530765, 0.47929844738355376]",,
7,,,"[0.4410580793559517, 0.45543415756181715, 0.44910868315123637, 0.4439332949971248, 0.42208165612420934]",,,,,0.3,,,,,,,,,,,,,,,"[0.4583093732029902, 0.4519838987924094, 0.44910868315123637, 0.46348476135710176, 0.4537090281771133]",,,,,,,,,"[0.4537090281771133, 0.4672225416906268, 0.4686601495112133, 0.47556066705002875, 0.46635997699827486]",,,,,,,,,,"[0.45974698102357675, 0.46463484761357104, 0.4649223691776883, 0.4499712478435883, 0.4606095457159287]",,
8,,,"[0.44307073030477284, 0.4373202990224267, 0.4606095457159287, 0.4378953421506613, 0.45802185163887293]",,,,,0.2,,,,,,,,,,,,,,,"[0.42006900517538814, 0.4177688326624497, 0.43674525589419205, 0.4117308798159862, 0.4148936170212766]",,,,,,,,,"[0.4968372627947096, 0.4836112708453134, 0.47814836112708453, 0.48389879240943073, 0.46808510638297873]",,,,,,,,,,"[0.46233467510063253, 0.44220816561242093, 0.44680851063829785, 0.44335825186889016, 0.4629097182288672]",,
9,,,"[0.43300747556066704, 0.4318573893041978, 0.402242668200115, 0.437607820586544, 0.4151811385853939]",,,,,0.1,,,,,,,,,,,,,,,"[0.41661874640598046, 0.4123059229442208, 0.42208165612420934, 0.4355951696377228, 0.32863714778608394]",,,,,,,,,"[0.4373202990224267, 0.4427832087406556, 0.40368027602070156, 0.4583093732029902, 0.4318573893041978]",,,,,,,,,,"[0.421794134560092, 0.4341575618171363, 0.43041978148361126, 0.418056354226567, 0.4344450833812536]",,
10,,,"[0.3780908568142611, 0.4010925819436458, 0.3651523864289822, 0.3959171937895342, 0.40051753881541113]",,,,,0.02,,,,,,,,,,,,,,,"[0.38441633122484187, 0.36745255894192064, 0.3700402530189764, 0.37722829212190917, 0.3688901667625072]",,,,,,,,,"[0.36774008050603796, 0.36860264519838987, 0.3709028177113283, 0.3780908568142611, 0.36687751581368605]",,,,,,,,,,"[0.3987924094307073, 0.3792409430707303, 0.3729154686601495, 0.36774008050603796, 0.3890166762507188]",,
11,,,"[0.36486486486486486, 0.36026451983898794, 0.3763657274295572, 0.36687751581368605, 0.36774008050603796]",,,,,0.01,,,,,,,,,,,,,,,"[0.36572742955721677, 0.3651523864289822, 0.36486486486486486, 0.36486486486486486, 0.3651523864289822]",,,,,,,,,"[0.36428982173663027, 0.36860264519838987, 0.3625646923519264, 0.35393904542840715, 0.3591144335825187]",,,,,,,,,,,,
12,,,"[0.3801035077630822, 0.36428982173663027, 0.37032777458309374, 0.3691776883266245, 0.36457734330074754]",,,,,0.0,,,,,,,,,,,,,,,"[0.36400230017251295, 0.36486486486486486, 0.36457734330074754, 0.36428982173663027, 0.3651523864289822]",,,,,,,,,"[0.36428982173663027, 0.36428982173663027, 0.36400230017251295, 0.36486486486486486, 0.36400230017251295]",,,,,,,,,,,,
