,Citeseer_AUTO_pca_30,ACM_CCA_pca_30,Actor_CCA_pca_30,ACM_AUTO_pca_30_5_pairs_0,IMDB_CLNL_pca_30_5_pairs_0,Citeseer_None_pca_64CONV,IMDB_CCA_pca_30_5_pairs_0,Citeseer_CLNL_pca_30,Actor_CLNL_pca_30,Cora_None_pca_64CONV,Cora_None_TRI,Cora_CLL_0,Actor_CLL_pca_30,Citeseer_CLL_pca_30,Cora_AUTO_pca_30_5_pairs_0,IMDB_CLNL_pca_30,output_5_pairs_runs.log,Actor_None_pca_30,ACM_CLNL_pca_30,DBLP_AUTO_pca_30,DBLP_CLL_pca_30_5_pairs_0,ACM_AUTO_pca_300,DBLP_CLNL__5_pairs_0,Cora_CLNL_pca_64_5_pairs_0,DBLP_AUTO_pca_30_5_pairs_0,ACM_CLL_pca_30,Cora_None_pca_64TRI,Cora_AUTO_0,IMDB_CLNL_pca_300,ratio,IMDB_CLL_pca_30_5_pairs_0,Cora_None_CONV,Citeseer_None_pca_64zscore,Cora_None_zscore,DBLP_CLL_pca_30,IMDB_AUTO_pca_300,DBLP_CLNL_pca_30_5_pairs_0,ACM_CLNL_pca_30_5_pairs_0,Citeseer_None_pca_30,cit_cl_linear_pca_10,Cora_None_pca_64zscore,DBLP_None_pca_32TRI,Cora_CLL_pca_30_5_pairs_0,Cora_CCA_0,IMDB_CLL_pca_300,Actor_AUTO_pca_30,DBLP_CCA_pca_30,Citeseer_None_pca_64TRI,IMDB_CCA_pca_30,ACM_CCA_pca_300,ACM_CCA_pca_30_5_pairs_0,ACM_CLL_pca_300,DBLP_CCA_pca_30_5_pairs_0,IMDB_CCA_pca_300,IMDB_AUTO_pca_30_5_pairs_0,IMDB_AUTO_pca_30,Cora_CCA_pca_30_5_pairs_0,Cora_CLNL_0,ACM_CLL_pca_30_5_pairs_0,DBLP_CLNL_pca_30,IMDB_CLL_pca_30,ACM_AUTO_pca_30
0,,,,,,,,,,"[0.788, 0.798, 0.786, 0.791, 0.784]","[0.767, 0.799, 0.802, 0.778, 0.775]","[0.788, 0.793, 0.803, 0.791, 0.773]",,,,,,,,,,,,,,,"[0.797, 0.788, 0.768, 0.78, 0.792]","[0.785, 0.792, 0.769, 0.781, 0.78]",,1.0,,"[0.791, 0.794, 0.784, 0.788, 0.793]",,"[0.793, 0.784, 0.77, 0.787, 0.756]",,,,,,,"[0.769, 0.777, 0.805, 0.752, 0.791]",,,"[0.793, 0.782, 0.777, 0.768, 0.785]",,,,,,,,,,,,,,"[0.796, 0.772, 0.797, 0.781, 0.784]",,,,
1,,,,,,,,,,"[0.797, 0.77, 0.767, 0.779, 0.79]","[0.778, 0.789, 0.779, 0.78, 0.758]","[0.783, 0.79, 0.785, 0.77, 0.786]",,,,,,,,,,,,,,,"[0.759, 0.744, 0.786, 0.759, 0.757]","[0.752, 0.758, 0.743, 0.764, 0.764]",,0.9,,"[0.785, 0.794, 0.782, 0.789, 0.787]",,"[0.783, 0.78, 0.767, 0.781, 0.798]",,,,,,,"[0.781, 0.734, 0.8, 0.786, 0.78]",,,"[0.79, 0.779, 0.774, 0.78, 0.786]",,,,,,,,,,,,,,"[0.772, 0.787, 0.779, 0.733, 0.778]",,,,
2,,,,,,,,,,"[0.766, 0.762, 0.76, 0.762, 0.754]","[0.777, 0.765, 0.776, 0.778, 0.754]","[0.79, 0.777, 0.791, 0.76, 0.787]",,,,,,,,,,,,,,,"[0.772, 0.76, 0.757, 0.772, 0.755]","[0.739, 0.723, 0.753, 0.76, 0.722]",,0.8,,"[0.768, 0.757, 0.775, 0.788, 0.795]",,"[0.785, 0.757, 0.794, 0.78, 0.781]",,,,,,,"[0.758, 0.742, 0.775, 0.789, 0.786]",,,"[0.777, 0.789, 0.783, 0.767, 0.77]",,,,,,,,,,,,,,"[0.762, 0.786, 0.773, 0.77, 0.777]",,,,
3,,,,,,,,,,"[0.721, 0.741, 0.752, 0.765, 0.747]","[0.77, 0.766, 0.754, 0.747, 0.762]","[0.771, 0.785, 0.776, 0.766, 0.778]",,,,,,,,,,,,,,,"[0.718, 0.751, 0.752, 0.749, 0.755]","[0.691, 0.719, 0.696, 0.704, 0.721]",,0.7,,"[0.784, 0.782, 0.772, 0.794, 0.786]",,"[0.776, 0.752, 0.774, 0.768, 0.777]",,,,,,,"[0.76, 0.769, 0.758, 0.755, 0.757]",,,"[0.775, 0.766, 0.766, 0.762, 0.76]",,,,,,,,,,,,,,"[0.773, 0.784, 0.745, 0.769, 0.76]",,,,
4,,,,,,,,,,"[0.699, 0.744, 0.758, 0.746, 0.742]","[0.746, 0.744, 0.738, 0.74, 0.744]","[0.747, 0.743, 0.775, 0.744, 0.75]",,,,,,,,,,,,,,,"[0.751, 0.735, 0.741, 0.741, 0.73]","[0.652, 0.697, 0.645, 0.684, 0.68]",,0.6,,"[0.776, 0.779, 0.77, 0.797, 0.785]",,"[0.767, 0.779, 0.766, 0.77, 0.755]",,,,,,,"[0.713, 0.651, 0.702, 0.732, 0.7]",,,"[0.689, 0.76, 0.748, 0.734, 0.774]",,,,,,,,,,,,,,"[0.745, 0.747, 0.743, 0.766, 0.75]",,,,
5,,,,,,,,,,"[0.749, 0.763, 0.774, 0.746, 0.736]","[0.74, 0.736, 0.737, 0.783, 0.74]","[0.734, 0.72, 0.753, 0.779, 0.717]",,,,,,,,,,,,,,,"[0.7, 0.678, 0.724, 0.72, 0.701]","[0.633, 0.608, 0.596, 0.652, 0.626]",,0.5,,"[0.776, 0.792, 0.788, 0.776, 0.772]",,"[0.772, 0.749, 0.776, 0.726, 0.759]",,,,,,,"[0.684, 0.705, 0.707, 0.661, 0.728]",,,"[0.716, 0.734, 0.718, 0.742, 0.736]",,,,,,,,,,,,,,,,,,
6,,,,,,,,,,"[0.709, 0.688, 0.686, 0.775, 0.693]","[0.732, 0.721, 0.759, 0.743, 0.684]","[0.738, 0.743, 0.737, 0.725, 0.755]",,,,,,,,,,,,,,,"[0.727, 0.694, 0.681, 0.641, 0.706]","[0.638, 0.606, 0.533, 0.539, 0.619]",,0.4,,"[0.777, 0.776, 0.77, 0.762, 0.761]",,"[0.725, 0.706, 0.731, 0.728, 0.725]",,,,,,,"[0.664, 0.7, 0.696, 0.675, 0.681]",,,"[0.723, 0.726, 0.723, 0.745, 0.722]",,,,,,,,,,,,,,"[0.701, 0.717, 0.719, 0.727, 0.74]",,,,
7,,,,,,,,,,"[0.719, 0.668, 0.68, 0.667, 0.711]","[0.711, 0.719, 0.687, 0.701, 0.697]","[0.71, 0.746, 0.708, 0.731, 0.721]",,,,,,,,,,,,,,,"[0.659, 0.669, 0.695, 0.665, 0.685]","[0.56, 0.524, 0.586, 0.588, 0.55]",,0.3,,"[0.755, 0.757, 0.765, 0.755, 0.77]",,"[0.649, 0.663, 0.645, 0.654, 0.672]",,,,,,,"[0.634, 0.625, 0.619, 0.65, 0.628]",,,"[0.694, 0.695, 0.687, 0.694, 0.695]",,,,,,,,,,,,,,"[0.707, 0.691, 0.728, 0.688, 0.712]",,,,
8,,,,,,,,,,"[0.73, 0.741, 0.651, 0.703, 0.622]","[0.72, 0.705, 0.649, 0.657, 0.656]","[0.714, 0.729, 0.733, 0.726, 0.695]",,,,,,,,,,,,,,,"[0.629, 0.589, 0.618, 0.643, 0.581]","[0.444, 0.437, 0.418, 0.397, 0.417]",,0.2,,"[0.738, 0.736, 0.779, 0.713, 0.734]",,"[0.555, 0.57, 0.549, 0.583, 0.593]",,,,,,,"[0.61, 0.645, 0.589, 0.646, 0.576]",,,"[0.628, 0.668, 0.681, 0.364, 0.603]",,,,,,,,,,,,,,"[0.634, 0.641, 0.621, 0.653, 0.64]",,,,
9,,,,,,,,,,"[0.662, 0.605, 0.606, 0.671, 0.672]","[0.631, 0.627, 0.625, 0.629, 0.621]","[0.644, 0.692, 0.678, 0.663, 0.665]",,,,,,,,,,,,,,,"[0.547, 0.537, 0.598, 0.545, 0.535]","[0.329, 0.319, 0.319, 0.347, 0.321]",,0.1,,"[0.71, 0.706, 0.715, 0.7, 0.706]",,"[0.341, 0.236, 0.277, 0.32, 0.224]",,,,,,,"[0.547, 0.6, 0.605, 0.581, 0.558]",,,"[0.452, 0.589, 0.448, 0.54, 0.606]",,,,,,,,,,,,,,"[0.623, 0.602, 0.602, 0.634, 0.633]",,,,
10,,,,,,,,,,"[0.522, 0.542, 0.572, 0.563, 0.509]","[0.328, 0.523, 0.529, 0.525, 0.606]","[0.525, 0.579, 0.58, 0.633, 0.516]",,,,,,,,,,,,,,,"[0.362, 0.362, 0.336, 0.438, 0.452]","[0.319, 0.324, 0.321, 0.319, 0.319]",,0.02,,"[0.656, 0.64, 0.638, 0.607, 0.672]",,"[0.315, 0.319, 0.324, 0.321, 0.274]",,,,,,,"[0.432, 0.462, 0.514, 0.4, 0.497]",,,"[0.322, 0.325, 0.328, 0.319, 0.323]",,,,,,,,,,,,,,"[0.543, 0.554, 0.52, 0.534, 0.535]",,,,
11,,,,,,,,,,"[0.389, 0.383, 0.149, 0.19, 0.405]","[0.494, 0.436, 0.398, 0.393, 0.451]","[0.439, 0.338, 0.323, 0.403, 0.359]",,,,,,,,,,,,,,,"[0.365, 0.337, 0.149, 0.149, 0.322]","[0.346, 0.32, 0.337, 0.344, 0.322]",,0.01,,"[0.465, 0.351, 0.491, 0.334, 0.424]",,"[0.319, 0.319, 0.319, 0.319, 0.318]",,,,,,,"[0.411, 0.405, 0.43, 0.428, 0.42]",,,"[0.144, 0.16, 0.149, 0.248, 0.156]",,,,,,,,,,,,,,"[0.384, 0.404, 0.429, 0.355, 0.368]",,,,
12,,,,,,,,,,"[0.37, 0.456, 0.387, 0.395, 0.387]","[0.381, 0.322, 0.319, 0.383, 0.386]","[0.176, 0.195, 0.203, 0.181, 0.179]",,,,,,,,,,,,,,,"[0.149, 0.149, 0.155, 0.187, 0.151]","[0.321, 0.321, 0.32, 0.321, 0.322]",,0.0,,"[0.333, 0.333, 0.338, 0.333, 0.356]",,"[0.319, 0.319, 0.319, 0.319, 0.319]",,,,,,,"[0.198, 0.16, 0.149, 0.149, 0.204]",,,"[0.149, 0.153, 0.149, 0.149, 0.149]",,,,,,,,,,,,,,"[0.41, 0.402, 0.432, 0.429, 0.416]",,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.718, 0.749, 0.736, 0.737, 0.755]",,,,
