,Citeseer_CLL_pca_30,DBLP_CLNL_pca_30,DBLP_AUTO_pca_30_5_pairs_0,Citeseer_CLNL_pca_30,Actor_CCA_pca_30,DBLP_AUTO_pca_30,ACM_CLL_pca_30_5_pairs_0,Actor_CLL_pca_30,DBLP_CCA_pca_30,IMDB_CLL_pca_30,IMDB_CLL_pca_30_5_pairs_0,ACM_CLL_pca_300,IMDB_CLNL_pca_300,DBLP_CCA_pca_30_5_pairs_0,ACM_AUTO_pca_30,Citeseer_AUTO_pca_30,ACM_AUTO_pca_30_5_pairs_0,ACM_CCA_pca_30,output_5_pairs_runs.log,IMDB_CCA_pca_30,Actor_CLNL_pca_30,ACM_AUTO_pca_300,ACM_CLNL_pca_30_5_pairs_0,IMDB_AUTO_pca_30,IMDB_CCA_pca_30_5_pairs_0,IMDB_CLL_pca_300,ACM_CCA_pca_30_5_pairs_0,DBLP_CLNL__5_pairs_0,DBLP_CLNL_pca_30_5_pairs_0,cit_cl_linear_pca_10,DBLP_CLL_pca_30,ACM_CLL_pca_30,IMDB_CLNL_pca_30,IMDB_CCA_pca_300,ratio,Actor_AUTO_pca_30,DBLP_CLL_pca_30_5_pairs_0,Citeseer_None_pca_30,ACM_CLNL_pca_30,Actor_None_pca_30,IMDB_AUTO_pca_30_5_pairs_0,IMDB_CLNL_pca_30_5_pairs_0,IMDB_AUTO_pca_300,ACM_CCA_pca_300
0,,,,,,,"[0.8984891406987724, 0.8984891406987724, 0.9093484419263456, 0.8810198300283286, 0.8876298394711992]",,,,,,,"[0.750997850782929, 0.7540681608842493, 0.7556033159349095, 0.750997850782929, 0.736260362296592]",,,"[0.8951841359773371, 0.8975448536355052, 0.8932955618508026, 0.8947119924457035, 0.9069877242681775]",,,,,,"[0.9117091595845137, 0.9074598677998111, 0.9013220018885741, 0.8984891406987724, 0.8881019830028328]",,,,"[0.8852691218130312, 0.8796033994334278, 0.8984891406987724, 0.886685552407932, 0.8942398489140698]",,,,,,,,1.0,,,,,,,,,
1,,,,,,,"[0.8975448536355052, 0.8899905571293674, 0.8881019830028328, 0.8871576959395656, 0.6227573182247403]",,,,,,,"[0.7261283389622352, 0.7356463002763279, 0.7341111452256678, 0.7353392692661959, 0.7255142769419711]",,,"[0.8474976392823418, 0.8857412653446648, 0.8890462700661, 0.8673276676109537, 0.7053824362606232]",,,,,,"[0.6402266288951841, 0.890462700661001, 0.8956562795089708, 0.9150141643059491, 0.8762983947119924]",,,,"[0.8871576959395656, 0.8838526912181303, 0.9017941454202077, 0.8748819641170916, 0.8824362606232294]",,,,,,,,0.9,,,,,,,,,
2,,,,,,,"[0.8692162417374882, 0.8687440982058546, 0.8479697828139755, 0.8956562795089708, 0.8923512747875354]",,,,,,,"[0.6935830518882408, 0.6981885170402211, 0.7206017807798588, 0.6825299355234878, 0.6852932146146761]",,,"[0.8635505193578848, 0.3432483474976393, 0.886685552407932, 0.8484419263456091, 0.8644948064211521]",,,,,,"[0.8847969782813976, 0.3432483474976393, 0.896600566572238, 0.8890462700661, 0.882908404154863]",,,,"[0.8649669499527857, 0.8762983947119924, 0.3432483474976393, 0.8725212464589235, 0.8640226628895185]",,,,,,,,0.8,,,,,,,,,
3,,,,,,,"[0.8847969782813976, 0.8772426817752597, 0.8734655335221907, 0.6473087818696884, 0.8715769593956563]",,,,,,,"[0.6994166410807492, 0.6963463309794289, 0.6908197727970525, 0.6954252379490329, 0.7003377341111452]",,,"[0.8659112370160529, 0.8342776203966006, 0.823890462700661, 0.839943342776204, 0.842304060434372]",,,,,,"[0.8696883852691218, 0.8692162417374882, 0.8729933899905571, 0.8862134088762984, 0.886685552407932]",,,,"[0.8739376770538244, 0.8569405099150141, 0.8682719546742209, 0.6591123701605288, 0.8734655335221907]",,,,,,,,0.7,,,,,,,,,
4,,,,,,,"[0.882908404154863, 0.8347497639282342, 0.8881019830028328, 0.8328611898016998, 0.8847969782813976]",,,,,,,,,,"[0.8328611898016998, 0.8257790368271954, 0.8800755429650614, 0.8508026440037771, 0.8305004721435316]",,,,,,"[0.8559962228517469, 0.8725212464589235, 0.8498583569405099, 0.8569405099150141, 0.8493862134088763]",,,,"[0.3432483474976393, 0.8659112370160529, 0.8564683663833805, 0.8677998111425873, 0.8607176581680831]",,,,,,,,0.6,,,,,,,,,
5,,,,,,,"[0.8456090651558074, 0.8706326723323891, 0.839943342776204, 0.8484419263456091, 0.8229461756373938]",,,,,,,,,,"[0.8456090651558074, 0.8078375826251181, 0.8087818696883853, 0.8078375826251181, 0.8130311614730878]",,,,,,"[0.8328611898016998, 0.8503305004721435, 0.8446647780925401, 0.8342776203966006, 0.8593012275731823]",,,,"[0.8286118980169972, 0.8484419263456091, 0.8550519357884797, 0.8394711992445704, 0.8106704438149197]",,,,,,,,0.5,,,,,,,,,
6,,,,,,,"[0.8451369216241738, 0.8508026440037771, 0.8682719546742209, 0.826251180358829, 0.8380547686496695]",,,,,,,,,,"[0.7809254013220018, 0.8045325779036827, 0.7667610953729934, 0.8427762039660056, 0.7766761095372994]",,,,,,"[0.7908404154863078, 0.8253068932955618, 0.8021718602455147, 0.8593012275731823, 0.8394711992445704]",,,,"[0.8352219074598678, 0.3432483474976393, 0.8040604343720491, 0.8054768649669499, 0.8210576015108593]",,,,,,,,0.4,,,,,,,,,
7,,,,,,,"[0.8437204910292729, 0.8474976392823418, 0.823890462700661, 0.8517469310670444, 0.5613786591123702]",,,,,,,,,,"[0.7875354107648725, 0.7625118035882908, 0.785646836638338, 0.8026440037771483, 0.8059490084985835]",,,,,,"[0.7847025495750708, 0.8116147308781869, 0.8002832861189801, 0.3432483474976393, 0.8083097261567517]",,,,"[0.7983947119924457, 0.7969782813975449, 0.8083097261567517, 0.8319169027384324, 0.8215297450424929]",,,,,,,,0.3,,,,,,,,,
8,,,,,,,"[0.8470254957507082, 0.8215297450424929, 0.8644948064211521, 0.8352219074598678, 0.842304060434372]",,,,,,,,,,"[0.7365439093484419, 0.7573182247403211, 0.710576015108593, 0.7724268177525968, 0.7577903682719547]",,,,,,"[0.3432483474976393, 0.771010387157696, 0.3432483474976393, 0.3432483474976393, 0.7705382436260623]",,,,"[0.8465533522190746, 0.8286118980169972, 0.8163361661945231, 0.8427762039660056, 0.8234183191690274]",,,,,,,,0.2,,,,,,,,,
9,,,,,,,"[0.8890462700661, 0.7615675165250236, 0.7554296506137866, 0.3432483474976393, 0.8498583569405099]",,,,,,,,,,"[0.6633616619452314, 0.7766761095372994, 0.5840415486307837, 0.7455146364494807, 0.6803588290840415]",,,,,,"[0.3432483474976393, 0.3432483474976393, 0.3432483474976393, 0.7455146364494807, 0.7691218130311614]",,,,"[0.8120868744098206, 0.3432483474976393, 0.8205854579792257, 0.6383380547686497, 0.3432483474976393]",,,,,,,,0.1,,,,,,,,,
