,Citeseer_CLNL_pca_30,ACM_AUTO_pca_30_5_pairs_0,IMDB_AUTO_pca_30_5_pairs_0,ratio,ACM_CLL_pca_30_5_pairs_0,IMDB_CLL_pca_30_5_pairs_0,Actor_CLL_pca_30,Citeseer_None_pca_30,Actor_None_pca_30,ACM_AUTO_pca_30,ACM_CLNL_pca_30_5_pairs_0,DBLP_CLNL__5_pairs_0,ACM_CCA_pca_300,ACM_CCA_pca_30,IMDB_CLNL_pca_30,IMDB_CLNL_pca_300,ACM_CLL_pca_30,IMDB_CCA_pca_300,Citeseer_CLL_pca_30,DBLP_CLNL_pca_30,IMDB_CLL_pca_300,DBLP_AUTO_pca_30_5_pairs_0,ACM_CLNL_pca_30,cit_cl_linear_pca_10,DBLP_CLL_pca_30_5_pairs_0,output_5_pairs_runs.log,IMDB_CLNL_pca_30_5_pairs_0,Actor_AUTO_pca_30,Actor_CLNL_pca_30,Citeseer_AUTO_pca_30,ACM_CCA_pca_30_5_pairs_0,DBLP_CCA_pca_30,IMDB_CCA_pca_30,IMDB_AUTO_pca_30,IMDB_CLL_pca_30,DBLP_CLNL_pca_30_5_pairs_0,ACM_CLL_pca_300,DBLP_CLL_pca_30,DBLP_CCA_pca_30_5_pairs_0,DBLP_AUTO_pca_30,ACM_AUTO_pca_300,Actor_CCA_pca_30,IMDB_CCA_pca_30_5_pairs_0,IMDB_AUTO_pca_300
0,,,"[0.56, 0.5525, 0.535, 0.55, 0.54]",1.0,,"[0.5675, 0.5675, 0.5525, 0.5575, 0.5775]",,,,,,"[0.91, 0.875, 0.86, 0.815, 0.8475]",,,,,,,,,,"[0.8525, 0.835, 0.84, 0.8825, 0.875]",,,"[0.8725, 0.865, 0.9025, 0.8575, 0.8825]",,"[0.57, 0.5625, 0.57, 0.545, 0.5625]",,,,,,,,,"[0.835, 0.875, 0.82, 0.8575, 0.86]",,,"[0.925, 0.85, 0.925, 0.895, 0.8625]",,,,"[0.54, 0.5775, 0.5625, 0.5325, 0.5625]",
1,,,"[0.5425, 0.52, 0.395, 0.5275, 0.58]",0.9,,"[0.545, 0.535, 0.5475, 0.395, 0.54]",,,,,,"[0.7875, 0.81, 0.805, 0.8925, 0.86]",,,,,,,,,,"[0.8175, 0.8025, 0.825, 0.7775, 0.8725]",,,"[0.82, 0.805, 0.9, 0.8375, 0.785]",,"[0.55, 0.5575, 0.5525, 0.545, 0.57]",,,,,,,,,"[0.84, 0.84, 0.8375, 0.8325, 0.86]",,,"[0.835, 0.845, 0.8625, 0.9125, 0.8825]",,,,"[0.54, 0.395, 0.54, 0.55, 0.5475]",
2,,,"[0.545, 0.395, 0.545, 0.54, 0.5375]",0.8,,"[0.395, 0.555, 0.55, 0.5475, 0.57]",,,,,,,,,,,,,,,,"[0.785, 0.8, 0.735, 0.8475, 0.7025]",,,"[0.8525, 0.8175, 0.7025, 0.87, 0.81]",,"[0.5575, 0.395, 0.56, 0.5525, 0.5575]",,,,,,,,,"[0.78, 0.865, 0.7925, 0.8625, 0.8]",,,"[0.7675, 0.8075, 0.825, 0.725, 0.77]",,,,"[0.555, 0.5425, 0.5475, 0.5475, 0.5525]",
3,,,"[0.5475, 0.515, 0.54, 0.5225, 0.525]",0.7,,"[0.515, 0.55, 0.52, 0.5375, 0.395]",,,,,,,,,,,,,,,,"[0.76, 0.74, 0.7825, 0.8, 0.8325]",,,"[0.7275, 0.7775, 0.7475, 0.7025, 0.7925]",,"[0.5325, 0.5725, 0.55, 0.56, 0.5575]",,,,,,,,,"[0.2575, 0.7025, 0.685, 0.7525, 0.73]",,,"[0.8125, 0.7125, 0.745, 0.705, 0.75]",,,,"[0.535, 0.54, 0.5575, 0.54, 0.5525]",
4,,,"[0.515, 0.54, 0.55, 0.5175, 0.5175]",0.6,,"[0.515, 0.535, 0.525, 0.5175, 0.555]",,,,,,,,,,,,,,,,"[0.7425, 0.735, 0.7, 0.67, 0.6875]",,,"[0.7225, 0.73, 0.725, 0.7275, 0.65]",,"[0.5425, 0.5325, 0.5, 0.5125, 0.5325]",,,,,,,,,"[0.2475, 0.805, 0.7975, 0.665, 0.78]",,,"[0.79, 0.69, 0.7275, 0.795, 0.6425]",,,,"[0.5125, 0.5175, 0.5325, 0.49, 0.5025]",
5,,,"[0.4925, 0.5075, 0.51, 0.485, 0.5]",0.5,,"[0.5225, 0.54, 0.53, 0.5075, 0.5025]",,,,,,,,,,,,,,,,"[0.6375, 0.2475, 0.7025, 0.67, 0.2475]",,,"[0.6575, 0.6525, 0.605, 0.675, 0.665]",,"[0.515, 0.525, 0.5275, 0.5275, 0.51]",,,,,,,,,"[0.845, 0.695, 0.735, 0.7375, 0.705]",,,"[0.7625, 0.7225, 0.6525, 0.625, 0.7225]",,,,"[0.505, 0.5325, 0.505, 0.525, 0.53]",
6,,,"[0.495, 0.505, 0.5, 0.4975, 0.515]",0.4,,"[0.51, 0.5425, 0.515, 0.4875, 0.5175]",,,,,,,,,,,,,,,,"[0.6775, 0.7025, 0.2575, 0.7025, 0.2475]",,,"[0.6, 0.5975, 0.65, 0.2575, 0.6025]",,"[0.555, 0.4875, 0.545, 0.5575, 0.4725]",,,,,,,,,"[0.6675, 0.675, 0.6825, 0.655, 0.645]",,,"[0.6875, 0.7325, 0.7475, 0.675, 0.77]",,,,"[0.505, 0.48, 0.5125, 0.53, 0.4975]",
7,,,"[0.5, 0.41, 0.4975, 0.455, 0.465]",0.3,,"[0.525, 0.5475, 0.395, 0.515, 0.545]",,,,,,,,,,,,,,,,"[0.2475, 0.2575, 0.2475, 0.2475, 0.7075]",,,"[0.6075, 0.61, 0.5375, 0.2475, 0.57]",,"[0.48, 0.505, 0.495, 0.4975, 0.4625]",,,,,,,,,"[0.67, 0.61, 0.6175, 0.2575, 0.6225]",,,"[0.6375, 0.7125, 0.2475, 0.64, 0.7225]",,,,"[0.455, 0.5, 0.4575, 0.4875, 0.47]",
8,,,"[0.4925, 0.425, 0.445, 0.4125, 0.4775]",0.2,,"[0.505, 0.5025, 0.5025, 0.4825, 0.5075]",,,,,,,,,,,,,,,,"[0.2475, 0.2475, 0.2475, 0.2575, 0.2575]",,,"[0.68, 0.56, 0.595, 0.695, 0.2475]",,"[0.48, 0.4625, 0.4875, 0.5, 0.47]",,,,,,,,,"[0.6775, 0.2475, 0.2475, 0.2475, 0.2475]",,,"[0.6775, 0.6875, 0.6875, 0.6775, 0.685]",,,,"[0.485, 0.5075, 0.485, 0.5125, 0.4875]",
9,,,"[0.395, 0.4625, 0.4525, 0.395, 0.485]",0.1,,"[0.4075, 0.425, 0.405, 0.4175, 0.4625]",,,,,,,,,,,,,,,,"[0.2475, 0.2475, 0.2575, 0.2475, 0.2575]",,,"[0.6225, 0.6875, 0.66, 0.6975, 0.6325]",,"[0.4425, 0.4475, 0.4375, 0.415, 0.44]",,,,,,,,,"[0.2575, 0.5825, 0.2575, 0.2575, 0.2575]",,,"[0.5975, 0.695, 0.62, 0.6625, 0.6325]",,,,"[0.4225, 0.42, 0.4325, 0.4275, 0.44]",
