,Actor_CCA_pca_30,ACM_CLNL_pca_30,ACM_CLL_pca_30,IMDB_CLL_pca_300,cit_cl_linear_pca_10,Cora_AUTO_pca_30_5_pairs_0,Citeseer_None_pca_30,ACM_CCA_pca_30_5_pairs_0,Citeseer_CLNL_pca_30,DBLP_AUTO_pca_30_5_pairs_0,IMDB_AUTO_pca_300,DBLP_CCA_pca_30_5_pairs_0,IMDB_AUTO_pca_30,Citeseer_AUTO_pca_30,ACM_CLL_pca_30_5_pairs_0,IMDB_CCA_pca_300,ACM_CLL_pca_300,output_5_pairs_runs.log,IMDB_AUTO_pca_30_5_pairs_0,IMDB_CCA_pca_30,DBLP_CLNL__5_pairs_0,Cora_CLL_pca_30_5_pairs_0,Cora_CLNL_pca_64_5_pairs_0,Actor_CLL_pca_30,Actor_CLNL_pca_30,IMDB_CLNL_pca_30_5_pairs_0,ACM_CCA_pca_300,DBLP_CLL_pca_30_5_pairs_0,DBLP_CCA_pca_30,ACM_AUTO_pca_30_5_pairs_0,Actor_AUTO_pca_30,ACM_CLNL_pca_30_5_pairs_0,DBLP_CLNL_pca_30,Actor_None_pca_30,ACM_CCA_pca_30,IMDB_CLL_pca_30,IMDB_CCA_pca_30_5_pairs_0,ratio,DBLP_CLNL_pca_30_5_pairs_0,Cora_CCA_pca_30_5_pairs_0,DBLP_CLL_pca_30,IMDB_CLL_pca_30_5_pairs_0,ACM_AUTO_pca_30,DBLP_AUTO_pca_30,Citeseer_CLL_pca_30,IMDB_CLNL_pca_300,IMDB_CLNL_pca_30,ACM_AUTO_pca_300
0,,,,,,,,,,,,,,,,,,,,,,,"[0.81, 0.813, 0.815, 0.813, 0.813]",,,,,,,,,,,,,,,1.0,,"[0.809, 0.811, 0.815, 0.814, 0.813]",,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,"[0.815, 0.817, 0.816, 0.819, 0.818]",,,,,,,,,,,,,,,0.9,,"[0.81, 0.809, 0.814, 0.817, 0.811]",,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,"[0.812, 0.812, 0.818, 0.816, 0.813]",,,,,,,,,,,,,,,0.8,,"[0.815, 0.814, 0.817, 0.813, 0.82]",,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,"[0.813, 0.814, 0.812, 0.816, 0.812]",,,,,,,,,,,,,,,0.7,,"[0.823, 0.823, 0.82, 0.821, 0.823]",,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,"[0.825, 0.824, 0.823, 0.821, 0.823]",,,,,,,,,,,,,,,0.6,,"[0.821, 0.812, 0.82, 0.823, 0.824]",,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,"[0.811, 0.809, 0.811, 0.814, 0.809]",,,,,,,,,,,,,,,0.5,,"[0.814, 0.815, 0.814, 0.818, 0.814]",,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,"[0.816, 0.813, 0.811, 0.811, 0.811]",,,,,,,,,,,,,,,0.4,,"[0.807, 0.809, 0.809, 0.81, 0.807]",,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,"[0.799, 0.799, 0.8, 0.8, 0.8]",,,,,,,,,,,,,,,0.3,,"[0.778, 0.77, 0.774, 0.77, 0.775]",,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,"[0.788, 0.789, 0.788, 0.787, 0.794]",,,,,,,,,,,,,,,0.2,,"[0.755, 0.764, 0.755, 0.764, 0.757]",,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,"[0.661, 0.668, 0.66, 0.656, 0.657]",,,,,,,,,,,,,,,0.1,,"[0.659, 0.65, 0.663, 0.634, 0.657]",,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,"[0.517, 0.519, 0.505, 0.519, 0.515]",,,,,,,,,,,,,,,0.02,,"[0.319, 0.319, 0.319, 0.319, 0.319]",,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,"[0.319, 0.319, 0.319, 0.319, 0.319]",,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,"[0.103, 0.103, 0.103, 0.319, 0.189]",,,,,,,,
