,DBLP_CCA_pca_30,IMDB_AUTO_pca_30_5_pairs_0,Citeseer_CCA_pca_300,Citeseer_None_pca_64zscore,Citeseer_CLL_pca_30,IMDB_CLNL_pca_30_5_pairs_0,Cora_None_TRI,Cora_CLL_pca_30_5_pairs_0,DBLP_None_pca_32TRI,Citeseer_None_pca_30,Actor_CLL_pca_30,ACM_CLNL_pca_30_5_pairs_0,IMDB_CLL_pca_30_5_pairs_0,DBLP_CLNL_pca_30_5_pairs_0,Citeseer_AUTO_pca_30,ACM_AUTO_pca_30_5_pairs_0,DBLP_AUTO_pca_30,Cora_None_pca_64TRI,DBLP_AUTO_pca_30_5_pairs_0,Cora_AUTO_0,ACM_CLL_pca_300,ratio,IMDB_CCA_pca_300,ACM_AUTO_pca_30,IMDB_AUTO_pca_30,IMDB_AUTO_pca_300,IMDB_CLNL_pca_30,Cora_AUTO_pca_30_5_pairs_0,Cora_None_pca_64CONV,IMDB_CCA_pca_30_5_pairs_0,Actor_None_pca_30,IMDB_CLNL_pca_300,DBLP_CLNL_pca_30,output_5_pairs_runs.log,IMDB_CCA_pca_30,IMDB_CLL_pca_300,Cora_CCA_0,ACM_CCA_pca_300,DBLP_CLNL__5_pairs_0,Cora_CLNL_0,Cora_CLL_0,Actor_CLNL_pca_30,DBLP_CLL_pca_30_5_pairs_0,ACM_CLNL_pca_30,Actor_CCA_pca_30,Cora_CCA_pca_30_5_pairs_0,Cora_None_zscore,Citeseer_None_pca_64CONV,ACM_None_pca_32zscore,ACM_AUTO_pca_300,cit_cl_linear_pca_10,Cora_None_pca_64zscore,Citeseer_None_pca_64TRI,ACM_CCA_pca_30_5_pairs_0,DBLP_CCA_pca_30_5_pairs_0,Cora_CLNL_pca_64_5_pairs_0,ACM_None_pca_32TRI,Actor_AUTO_pca_30,ACM_CCA_pca_30,IMDB_CLL_pca_30,DBLP_CLL_pca_30,ACM_CLL_pca_30_5_pairs_0,Cora_None_CONV,Citeseer_CLNL_pca_30,ACM_CLL_pca_30
0,,,"[0.701, 0.703, 0.706]","[0.704, 0.703, 0.703]","[0.706, 0.708, 0.704]",,,,,"[0.706, 0.704, 0.705]",,,,,"[0.696, 0.707, 0.704]",,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.704, 0.71, 0.705]",,,,,"[0.708, 0.703, 0.706]",,,,,,,,,,,"[0.702, 0.702, 0.704]",
1,,,"[0.699, 0.707, 0.705]","[0.707, 0.701, 0.701]","[0.703, 0.708, 0.706]",,,,,"[0.707, 0.699, 0.701]",,,,,"[0.699, 0.694, 0.696]",,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.7, 0.711, 0.706]",,,,,"[0.708, 0.711, 0.706]",,,,,,,,,,,"[0.709, 0.705, 0.708]",
2,,,"[0.712, 0.709, 0.71]","[0.709, 0.708, 0.706]","[0.712, 0.71, 0.713]",,,,,"[0.702, 0.697, 0.704]",,,,,"[0.699, 0.711, 0.692]",,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.702, 0.704, 0.709]",,,,,"[0.709, 0.708, 0.707]",,,,,,,,,,,"[0.707, 0.701, 0.701]",
3,,,"[0.704, 0.709, 0.702]","[0.703, 0.704, 0.705]","[0.71, 0.714, 0.714]",,,,,"[0.702, 0.697, 0.705]",,,,,"[0.698, 0.703, 0.698]",,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.702, 0.697, 0.697]",,,,,"[0.701, 0.698, 0.694]",,,,,,,,,,,"[0.693, 0.696, 0.693]",
4,,,"[0.702, 0.707, 0.7]","[0.713, 0.71, 0.712]","[0.701, 0.703, 0.702]",,,,,"[0.696, 0.697, 0.699]",,,,,"[0.704, 0.711, 0.701]",,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.689, 0.692, 0.689]",,,,,"[0.695, 0.691, 0.699]",,,,,,,,,,,"[0.7, 0.691, 0.69]",
5,,,"[0.699, 0.7, 0.697]","[0.711, 0.711, 0.711]","[0.718, 0.712, 0.719]",,,,,"[0.706, 0.688, 0.693]",,,,,"[0.698, 0.695, 0.697]",,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.696, 0.693, 0.698]",,,,,"[0.711, 0.709, 0.71]",,,,,,,,,,,"[0.687, 0.687, 0.694]",
6,,,"[0.696, 0.69, 0.698]","[0.72, 0.714, 0.716]","[0.715, 0.71, 0.711]",,,,,"[0.701, 0.693, 0.701]",,,,,"[0.692, 0.686, 0.689]",,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.704, 0.702, 0.701]",,,,,"[0.718, 0.716, 0.716]",,,,,,,,,,,"[0.681, 0.684, 0.684]",
7,,,"[0.695, 0.7, 0.695]","[0.67, 0.668, 0.667]","[0.71, 0.71, 0.71]",,,,,"[0.691, 0.707, 0.693]",,,,,"[0.69, 0.692, 0.688]",,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.708, 0.705, 0.706]",,,,,"[0.689, 0.687, 0.683]",,,,,,,,,,,"[0.698, 0.7, 0.694]",
8,,,"[0.711, 0.721, 0.716]","[0.609, 0.597, 0.592]","[0.682, 0.672, 0.671]",,,,,"[0.703, 0.712, 0.703]",,,,,"[0.647, 0.647, 0.652]",,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.682, 0.683, 0.686]",,,,,"[0.678, 0.675, 0.682]",,,,,,,,,,,"[0.714, 0.712, 0.713]",
9,,,"[0.705, 0.705, 0.707]","[0.416, 0.416, 0.413]","[0.714, 0.715, 0.709]",,,,,"[0.695, 0.686, 0.694]",,,,,"[0.354, 0.353, 0.352]",,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.684, 0.691, 0.682]",,,,,"[0.659, 0.66, 0.657]",,,,,,,,,,,"[0.721, 0.716, 0.715]",
