,ratio,cca,auto,cl,cln
0,1.0,0.6733 ,0.7143 ,0.9023 ,0.8535 
1,0.9,0.8953 ,0.8672 ,0.8941 ,0.6191 
2,0.8,0.7675 ,0.8596 ,0.7668 ,0.8830 
3,0.7,0.8803 ,0.8448 ,0.8543 ,0.8707 
4,0.6,0.8566 ,0.8365 ,0.8538 ,0.7553 
5,0.5,0.7462 ,0.8166 ,0.8488 ,0.8480 
6,0.4,0.8302 ,0.7939 ,0.7551 ,0.8157 
7,0.3,0.7698 ,0.7617 ,0.8357 ,0.7629 
8,0.2,0.8421 ,0.7200 ,0.7589 ,0.6474 
9,0.1,0.8256 ,0.7603 ,0.8039 ,0.5821 
10,0.02,0.4329 ,0.3441 ,0.6007 ,0.5632 
11,0.01,0.4893 ,0.3751 ,0.5626 ,0.4942 
12,0.0,0.4001 ,0.3515 ,0.4116 ,0.4483 
