,ratio,cca,auto,cl,cln
0,1.0,0.7802 ,0.7822 ,0.7814 ,0.7784 
1,0.9,0.7582 ,0.7816 ,0.7840 ,0.7952 
2,0.8,0.7498 ,0.7564 ,0.7900 ,0.7964 
3,0.7,0.7446 ,0.7394 ,0.7560 ,0.7798 
4,0.6,0.7388 ,0.6938 ,0.7602 ,0.7736 
5,0.5,0.7196 ,0.6734 ,0.7382 ,0.7550 
6,0.4,0.6578 ,0.6330 ,0.7370 ,0.7508 
7,0.3,0.6644 ,0.5248 ,0.7196 ,0.7424 
8,0.2,0.6380 ,0.4380 ,0.7168 ,0.7400 
9,0.1,0.5718 ,0.3240 ,0.7230 ,0.7096 
10,0.02,0.3614 ,0.3204 ,0.5136 ,0.6242 
11,0.01,0.3554 ,0.1542 ,0.4500 ,0.4236 
12,0.0,0.3104 ,0.1360 ,0.2906 ,0.3726 
