,ratio,cca,auto,cl,cln
0,1.0,0.8140 ,0.8132 ,0.8122 ,0.8118 
1,0.9,0.8144 ,0.8132 ,0.8134 ,0.8162 
2,0.8,0.8126 ,0.8046 ,0.8190 ,0.8134 
3,0.7,0.8226 ,0.7980 ,0.8284 ,0.8120 
4,0.6,0.8206 ,0.7888 ,0.8132 ,0.8206 
5,0.5,0.8174 ,0.7822 ,0.7990 ,0.8106 
6,0.4,0.8074 ,0.7270 ,0.7938 ,0.8120 
7,0.3,0.7728 ,0.6596 ,0.7778 ,0.8002 
8,0.2,0.7596 ,0.5342 ,0.7578 ,0.7900 
9,0.1,0.6370 ,0.1854 ,0.6464 ,0.6662 
10,0.02,0.3190 ,0.2512 ,0.5496 ,0.5182 
11,0.01,0.3190 ,0.1508 ,0.2124 ,0.2780 
12,0.0,0.1720 ,0.1214 ,0.2858 ,0.2408 
