,ratio,IMDB_AUTO_pca_30_5_pairs_0,IMDB_CLNL_pca_30_5_pairs_0,IMDB_CCA_pca_30_5_pairs_0,IMDB_CLL_pca_30_5_pairs_0
0,1.0,0.569 ± 0.001,0.569 ± 0.001,0.568 ± 0.001,0.569 ± 0.001
1,0.9,0.558 ± 0.002,0.569 ± 0.002,0.559 ± 0.001,0.561 ± 0.001
2,0.8,0.552 ± 0.003,0.580 ± 0.002,0.549 ± 0.001,0.548 ± 0.002
3,0.7,0.528 ± 0.002,0.561 ± 0.002,0.527 ± 0.001,0.533 ± 0.003
4,0.6,0.545 ± 0.001,0.539 ± 0.002,0.509 ± 0.001,0.518 ± 0.001
5,0.5,0.509 ± 0.002,0.521 ± 0.003,0.506 ± 0.003,0.504 ± 0.003
6,0.4,0.496 ± 0.002,0.520 ± 0.001,0.509 ± 0.001,0.503 ± 0.002
7,0.3,0.489 ± 0.001,0.483 ± 0.006,0.451 ± 0.002,0.499 ± 0.002
8,0.2,0.454 ± 0.003,0.419 ± 0.007,0.455 ± 0.002,0.446 ± 0.005
9,0.1,0.372 ± 0.002,0.405 ± 0.002,0.422 ± 0.004,0.403 ± 0.001
10,0.02,0.373 ± 0.000,0.355 ± 0.008,0.321 ± 0.002,0.396 ± 0.002
11,0.01,0.364 ± 0.000,0.364 ± 0.000,0.370 ± 0.000,0.366 ± 0.000
12,0.0,0.364 ± 0.000,0.365 ± 0.001,0.370 ± 0.000,0.364 ± 0.000
