,ratio,ACM_CLL_pca_30_5_pairs_0,ACM_CCA_pca_30_5_pairs_0,ACM_AUTO_pca_30_5_pairs_0,ACM_CLNL_pca_30_5_pairs_0
0,1.0,0.910 ± 0.025,0.896 ± 0.059,0.890 ± 0.047,0.894 ± 0.061
1,0.9,0.925 ± 0.004,0.915 ± 0.006,0.914 ± 0.020,0.914 ± 0.028
2,0.8,0.905 ± 0.019,0.919 ± 0.006,0.922 ± 0.002,0.919 ± 0.010
3,0.7,0.922 ± 0.003,0.918 ± 0.004,0.910 ± 0.017,0.918 ± 0.003
4,0.6,0.922 ± 0.001,0.916 ± 0.006,0.912 ± 0.007,0.921 ± 0.006
5,0.5,0.875 ± 0.024,0.863 ± 0.068,0.915 ± 0.002,0.921 ± 0.002
6,0.4,0.869 ± 0.065,0.854 ± 0.037,0.903 ± 0.010,0.885 ± 0.059
7,0.3,0.819 ± 0.068,0.717 ± 0.067,0.750 ± 0.023,0.912 ± 0.006
8,0.2,0.736 ± 0.085,0.610 ± 0.119,0.868 ± 0.040,0.893 ± 0.017
9,0.1,0.746 ± 0.070,0.531 ± 0.108,0.863 ± 0.028,0.765 ± 0.011
10,0.02,0.657 ± 0.130,0.569 ± 0.024,0.364 ± 0.013,0.438 ± 0.021
11,0.01,0.606 ± 0.051,0.517 ± 0.069,0.317 ± 0.002,0.338 ± 0.032
12,0.0,0.619 ± 0.052,0.415 ± 0.083,0.320 ± 0.001,0.322 ± 0.005
